output_area,All household spaces,Occupied household spaces,Unoccupied household spaces,Unoccupied household spaces: Second residence/holiday accommodation,Unoccupied household spaces: Vacant
S00091153,43,42,1,0,1
S00091154,48,46,2,2,0
S00091155,45,40,5,5,0
S00091156,42,39,3,2,1
S00091157,63,60,3,0,3
S00091158,59,55,4,0,4
S00091159,35,35,0,0,0
S00091160,64,60,4,0,4
S00091161,60,57,3,0,3
S00091162,66,61,5,1,4
S00091163,58,52,6,0,6
S00091164,43,43,0,0,0
S00091165,73,72,1,0,1
S00091166,60,56,4,2,2
S00091167,37,37,0,0,0
S00091168,55,51,4,4,0
S00091169,34,31,3,0,3
S00091170,80,76,4,0,4
S00091171,58,56,2,0,2
S00091172,25,24,1,0,1
S00091173,60,56,4,0,4
S00091174,42,42,0,0,0
S00091175,58,58,0,0,0
S00091176,53,49,4,1,3
S00091177,44,44,0,0,0
S00091178,73,68,5,0,5
S00091179,26,25,1,0,1
S00091180,28,27,1,0,1
S00091181,62,59,3,0,3
S00091182,54,53,1,0,1
S00091183,43,41,2,2,0
S00091184,61,59,2,2,0
S00091185,55,50,5,5,0
S00091186,65,54,11,11,0
S00091187,65,56,9,8,1
S00091188,68,67,1,1,0
S00091189,52,52,0,0,0
S00091190,52,47,5,5,0
S00091191,76,68,8,7,1
S00091192,65,63,2,0,2
S00091193,54,51,3,0,3
S00091194,51,47,4,4,0
S00091195,51,47,4,1,3
S00091196,61,54,7,2,5
S00091197,63,61,2,1,1
S00091198,67,63,4,0,4
S00091199,66,61,5,1,4
S00091200,61,56,5,3,2
S00091201,52,48,4,1,3
S00091202,62,57,5,2,3
S00091203,49,48,1,1,0
S00091204,53,50,3,2,1
S00091205,51,46,5,1,4
S00091206,40,36,4,1,3
S00091207,59,50,9,5,4
S00091208,48,44,4,1,3
S00091209,78,75,3,1,2
S00091210,67,64,3,1,2
S00091211,65,64,1,0,1
S00091212,51,50,1,0,1
S00091213,78,76,2,0,2
S00091214,33,32,1,1,0
S00091215,51,48,3,0,3
S00091216,56,54,2,2,0
S00091217,65,61,4,0,4
S00091218,68,65,3,0,3
S00091219,40,39,1,0,1
S00091220,48,47,1,0,1
S00091221,27,27,0,0,0
S00091222,60,57,3,0,3
S00091223,74,70,4,1,3
S00091224,52,49,3,0,3
S00091225,39,39,0,0,0
S00091226,45,45,0,0,0
S00091227,75,73,2,1,1
S00091228,75,72,3,0,3
S00091229,54,51,3,0,3
S00091230,66,59,7,0,7
S00091231,68,64,4,1,3
S00091232,40,39,1,0,1
S00091233,75,75,0,0,0
S00091234,59,59,0,0,0
S00091235,48,48,0,0,0
S00091236,56,56,0,0,0
S00091237,71,71,0,0,0
S00091238,39,37,2,0,2
S00091239,48,48,0,0,0
S00091240,44,43,1,0,1
S00091241,44,44,0,0,0
S00091242,56,55,1,0,1
S00091243,40,39,1,0,1
S00091244,66,64,2,0,2
S00091245,56,55,1,0,1
S00091246,47,45,2,0,2
S00091247,58,56,2,0,2
S00091248,54,52,2,1,1
S00091249,59,58,1,0,1
S00091250,58,57,1,0,1
S00091251,44,42,2,1,1
S00091252,71,71,0,0,0
S00091253,72,72,0,0,0
S00091254,54,45,9,4,5
S00091255,58,55,3,1,2
S00091256,24,24,0,0,0
S00091257,58,57,1,0,1
S00091258,56,52,4,0,4
S00091259,54,52,2,0,2
S00091260,58,55,3,0,3
S00091261,50,48,2,0,2
S00091262,41,41,0,0,0
S00091263,74,73,1,0,1
S00091264,50,50,0,0,0
S00091265,45,44,1,0,1
S00091266,39,39,0,0,0
S00091267,70,69,1,0,1
S00091268,57,57,0,0,0
S00091269,29,25,4,1,3
S00091270,28,27,1,0,1
S00091271,75,72,3,0,3
S00091272,47,46,1,1,0
S00091273,47,43,4,0,4
S00091274,76,76,0,0,0
S00091275,75,74,1,0,1
S00091276,47,47,0,0,0
S00091277,59,59,0,0,0
S00091278,48,48,0,0,0
S00091279,43,43,0,0,0
S00091280,56,52,4,1,3
S00091281,68,67,1,0,1
S00091282,61,60,1,0,1
S00091283,62,59,3,0,3
S00091284,70,68,2,0,2
S00091285,68,67,1,0,1
S00091286,60,58,2,0,2
S00091287,68,66,2,0,2
S00091288,63,62,1,0,1
S00091289,61,45,16,16,0
S00091290,85,70,15,15,0
S00091291,89,76,13,12,1
S00091292,59,32,27,27,0
S00091293,58,50,8,0,8
S00091294,61,57,4,0,4
S00091295,47,47,0,0,0
S00091296,55,54,1,0,1
S00091297,81,76,5,0,5
S00091298,38,29,9,1,8
S00091299,43,40,3,0,3
S00091300,84,76,8,6,2
S00091301,46,32,14,8,6
S00091302,72,69,3,1,2
S00091303,44,43,1,1,0
S00091304,43,42,1,0,1
S00091305,50,47,3,0,3
S00091306,60,56,4,0,4
S00091307,40,40,0,0,0
S00091308,45,44,1,0,1
S00091309,49,46,3,0,3
S00091310,52,51,1,0,1
S00091311,71,67,4,0,4
S00091312,64,61,3,0,3
S00091313,59,59,0,0,0
S00091314,34,32,2,0,2
S00091315,29,28,1,0,1
S00091316,28,27,1,0,1
S00091317,54,51,3,1,2
S00091318,38,37,1,0,1
S00091319,80,76,4,0,4
S00091320,49,48,1,0,1
S00091321,48,48,0,0,0
S00091322,58,54,4,0,4
S00091323,59,59,0,0,0
S00091324,62,62,0,0,0
S00091325,56,56,0,0,0
S00091326,49,48,1,0,1
S00091327,75,68,7,0,7
S00091328,44,44,0,0,0
S00091329,67,65,2,0,2
S00091330,56,54,2,0,2
S00091331,61,55,6,2,4
S00091332,37,32,5,0,5
S00091333,38,36,2,1,1
S00091334,49,46,3,2,1
S00091335,62,57,5,1,4
S00091336,69,64,5,2,3
S00091337,50,47,3,0,3
S00091338,34,22,12,4,8
S00091339,40,30,10,1,9
S00091340,40,36,4,1,3
S00091341,71,69,2,1,1
S00091342,48,46,2,0,2
S00091343,76,73,3,2,1
S00091344,39,34,5,1,4
S00091345,63,62,1,0,1
S00091346,44,44,0,0,0
S00091347,54,54,0,0,0
S00091348,51,49,2,0,2
S00091349,55,54,1,0,1
S00091350,55,54,1,0,1
S00091351,67,61,6,0,6
S00091352,41,40,1,0,1
S00091353,45,42,3,1,2
S00091354,36,31,5,3,2
S00091355,55,55,0,0,0
S00091356,56,52,4,1,3
S00091357,35,33,2,0,2
S00091358,61,58,3,0,3
S00091359,38,37,1,0,1
S00091360,28,28,0,0,0
S00091361,51,50,1,0,1
S00091362,50,50,0,0,0
S00091363,42,39,3,1,2
S00091364,41,41,0,0,0
S00091365,78,75,3,0,3
S00091366,62,61,1,0,1
S00091367,39,38,1,0,1
S00091368,69,65,4,2,2
S00091369,73,72,1,0,1
S00091370,48,48,0,0,0
S00091371,75,74,1,0,1
S00091372,38,38,0,0,0
S00091373,53,53,0,0,0
S00091374,43,41,2,0,2
S00091375,41,39,2,0,2
S00091376,28,27,1,0,1
S00091377,51,46,5,1,4
S00091378,45,42,3,2,1
S00091379,62,56,6,1,5
S00091380,39,39,0,0,0
S00091381,57,57,0,0,0
S00091382,68,65,3,0,3
S00091383,63,57,6,3,3
S00091384,43,40,3,1,2
S00091385,35,34,1,0,1
S00091386,76,73,3,1,2
S00091387,56,55,1,1,0
S00091388,64,60,4,2,2
S00091389,24,23,1,0,1
S00091390,57,54,3,1,2
S00091391,60,56,4,0,4
S00091392,48,46,2,0,2
S00091393,76,75,1,1,0
S00091394,59,55,4,0,4
S00091395,56,55,1,0,1
S00091396,32,29,3,1,2
S00091397,40,38,2,0,2
S00091398,55,52,3,1,2
S00091399,36,34,2,1,1
S00091400,25,25,0,0,0
S00091401,60,60,0,0,0
S00091402,33,33,0,0,0
S00091403,75,74,1,0,1
S00091404,62,58,4,1,3
S00091405,27,27,0,0,0
S00091406,22,21,1,0,1
S00091407,33,33,0,0,0
S00091408,51,50,1,1,0
S00091409,40,35,5,5,0
S00091410,52,50,2,2,0
S00091411,49,49,0,0,0
S00091412,68,68,0,0,0
S00091413,61,59,2,2,0
S00091414,74,65,9,9,0
S00091415,49,48,1,1,0
S00091416,60,57,3,3,0
S00091417,48,40,8,8,0
S00091418,68,56,12,11,1
S00091419,37,26,11,11,0
S00091420,47,41,6,5,1
S00091421,49,49,0,0,0
S00091422,53,51,2,1,1
S00091423,56,50,6,5,1
S00091424,47,46,1,0,1
S00091425,79,61,18,12,6
S00091426,29,28,1,1,0
S00091427,55,51,4,1,3
S00091428,44,43,1,0,1
S00091429,87,84,3,3,0
S00091430,49,47,2,1,1
S00091431,56,51,5,2,3
S00091432,65,59,6,1,5
S00091433,31,29,2,1,1
S00091434,48,46,2,1,1
S00091435,63,62,1,0,1
S00091436,72,63,9,0,9
S00091437,85,75,10,7,3
S00091438,64,55,9,7,2
S00091439,33,31,2,2,0
S00091440,80,45,35,25,10
S00091441,70,41,29,21,8
S00091442,38,30,8,7,1
S00091443,86,67,19,17,2
S00091444,59,44,15,12,3
S00091445,81,63,18,18,0
S00091446,63,62,1,0,1
S00091447,71,62,9,1,8
S00091448,44,44,0,0,0
S00091449,64,64,0,0,0
S00091450,68,67,1,1,0
S00091451,66,55,11,10,1
S00091452,65,49,16,12,4
S00091453,85,71,14,12,2
S00091454,57,54,3,2,1
S00091455,65,60,5,4,1
S00091456,53,51,2,1,1
S00091457,40,40,0,0,0
S00091458,60,59,1,0,1
S00091459,48,48,0,0,0
S00091460,67,64,3,1,2
S00091461,61,55,6,0,6
S00091462,45,45,0,0,0
S00091463,57,56,1,0,1
S00091464,38,38,0,0,0
S00091465,57,55,2,0,2
S00091466,62,62,0,0,0
S00091467,48,46,2,0,2
S00091468,53,51,2,0,2
S00091469,57,55,2,1,1
S00091470,62,62,0,0,0
S00091471,63,59,4,1,3
S00091472,74,71,3,1,2
S00091473,74,73,1,0,1
S00091474,56,55,1,0,1
S00091475,63,62,1,1,0
S00091476,56,56,0,0,0
S00091477,49,48,1,0,1
S00091478,57,57,0,0,0
S00091479,41,40,1,0,1
S00091480,69,68,1,1,0
S00091481,28,28,0,0,0
S00091482,78,77,1,1,0
S00091483,43,43,0,0,0
S00091484,36,36,0,0,0
S00091485,61,61,0,0,0
S00091486,67,67,0,0,0
S00091487,53,53,0,0,0
S00091488,45,45,0,0,0
S00091489,48,47,1,0,1
S00091490,52,51,1,0,1
S00091491,50,50,0,0,0
S00091492,61,61,0,0,0
S00091493,75,75,0,0,0
S00091494,79,79,0,0,0
S00091495,74,72,2,0,2
S00091496,53,53,0,0,0
S00091497,67,66,1,1,0
S00091498,55,53,2,0,2
S00091499,42,42,0,0,0
S00091500,58,58,0,0,0
S00091501,46,46,0,0,0
S00091502,32,32,0,0,0
S00091503,50,50,0,0,0
S00091504,70,67,3,0,3
S00091505,60,58,2,0,2
S00091506,62,60,2,0,2
S00091507,27,25,2,1,1
S00091508,55,55,0,0,0
S00091509,49,48,1,0,1
S00091510,58,56,2,0,2
S00091511,55,52,3,2,1
S00091512,54,50,4,3,1
S00091513,59,54,5,1,4
S00091514,53,51,2,0,2
S00091515,54,51,3,1,2
S00091516,77,76,1,1,0
S00091517,55,52,3,0,3
S00091518,50,47,3,1,2
S00091519,34,33,1,0,1
S00091520,48,47,1,0,1
S00091521,66,62,4,0,4
S00091522,52,46,6,4,2
S00091523,42,41,1,1,0
S00091524,59,57,2,0,2
S00091525,50,47,3,1,2
S00091526,57,56,1,0,1
S00091527,64,58,6,2,4
S00091528,48,42,6,1,5
S00091529,46,44,2,1,1
S00091530,78,75,3,0,3
S00091531,45,45,0,0,0
S00091532,38,38,0,0,0
S00091533,75,74,1,1,0
S00091534,60,60,0,0,0
S00091535,45,45,0,0,0
S00091536,54,52,2,0,2
S00091537,65,64,1,0,1
S00091538,36,36,0,0,0
S00091539,44,43,1,0,1
S00091540,78,42,36,36,0
S00091541,87,68,19,14,5
S00091542,33,30,3,3,0
S00091543,86,76,10,8,2
S00091544,52,46,6,5,1
S00091545,53,50,3,1,2
S00091546,31,29,2,1,1
S00091547,45,39,6,3,3
S00091548,31,29,2,1,1
S00091549,67,66,1,0,1
S00091550,67,63,4,0,4
S00091551,41,41,0,0,0
S00091552,40,38,2,0,2
S00091553,58,52,6,2,4
S00091554,60,58,2,0,2
S00091555,54,53,1,0,1
S00091556,51,48,3,1,2
S00091557,61,60,1,1,0
S00091558,49,49,0,0,0
S00091559,50,50,0,0,0
S00091560,52,52,0,0,0
S00091561,41,39,2,0,2
S00091562,51,47,4,0,4
S00091563,26,26,0,0,0
S00091564,40,40,0,0,0
S00091565,42,42,0,0,0
S00091566,47,45,2,0,2
S00091567,53,50,3,1,2
S00091568,73,72,1,0,1
S00091569,46,44,2,0,2
S00091570,58,58,0,0,0
S00091571,61,59,2,0,2
S00091572,74,72,2,1,1
S00091573,57,55,2,0,2
S00091574,57,57,0,0,0
S00091575,37,37,0,0,0
S00091576,46,46,0,0,0
S00091577,57,55,2,0,2
S00091578,42,41,1,0,1
S00091579,49,49,0,0,0
S00091580,58,58,0,0,0
S00091581,76,76,0,0,0
S00091582,69,68,1,0,1
S00091583,52,51,1,0,1
S00091584,56,55,1,0,1
S00091585,33,33,0,0,0
S00091586,41,41,0,0,0
S00091587,75,74,1,0,1
S00091588,63,61,2,0,2
S00091589,33,32,1,0,1
S00091590,78,78,0,0,0
S00091591,79,79,0,0,0
S00091592,75,73,2,0,2
S00091593,81,81,0,0,0
S00091594,50,50,0,0,0
S00091595,30,30,0,0,0
S00091596,34,34,0,0,0
S00091597,22,22,0,0,0
S00091598,90,88,2,0,2
S00091599,44,43,1,0,1
S00091600,62,59,3,0,3
S00091601,65,62,3,1,2
S00091602,47,43,4,2,2
S00091603,52,49,3,0,3
S00091604,47,43,4,0,4
S00091605,56,54,2,2,0
S00091606,52,50,2,0,2
S00091607,42,39,3,0,3
S00091608,54,54,0,0,0
S00091609,49,48,1,0,1
S00091610,40,39,1,0,1
S00091611,31,30,1,0,1
S00091612,60,59,1,0,1
S00091613,78,77,1,0,1
S00091614,46,45,1,0,1
S00091615,70,70,0,0,0
S00091616,27,27,0,0,0
S00091617,58,58,0,0,0
S00091618,43,40,3,0,3
S00091619,67,67,0,0,0
S00091620,61,61,0,0,0
S00091621,76,75,1,0,1
S00091622,51,49,2,0,2
S00091623,68,67,1,1,0
S00091624,58,58,0,0,0
S00091625,43,43,0,0,0
S00091626,73,72,1,0,1
S00091627,67,67,0,0,0
S00091628,70,67,3,0,3
S00091629,48,48,0,0,0
S00091630,65,64,1,0,1
S00091631,21,21,0,0,0
S00091632,67,67,0,0,0
S00091633,65,65,0,0,0
S00091634,41,41,0,0,0
S00091635,42,42,0,0,0
S00091636,41,41,0,0,0
S00091637,47,46,1,0,1
S00091638,56,56,0,0,0
S00091639,49,49,0,0,0
S00091640,46,45,1,0,1
S00091641,64,62,2,1,1
S00091642,40,39,1,1,0
S00091643,46,46,0,0,0
S00091644,69,67,2,0,2
S00091645,41,40,1,0,1
S00091646,25,25,0,0,0
S00091647,43,43,0,0,0
S00091648,55,55,0,0,0
S00091649,48,48,0,0,0
S00091650,45,42,3,0,3
S00091651,56,56,0,0,0
S00091652,60,60,0,0,0
S00091653,24,24,0,0,0
S00091654,54,54,0,0,0
S00091655,35,34,1,0,1
S00091656,60,59,1,0,1
S00091657,54,52,2,1,1
S00091658,42,40,2,0,2
S00091659,79,77,2,0,2
S00091660,68,67,1,0,1
S00091661,65,65,0,0,0
S00091662,61,55,6,0,6
S00091663,54,54,0,0,0
S00091664,68,68,0,0,0
S00091665,61,61,0,0,0
S00091666,73,72,1,0,1
S00091667,79,77,2,0,2
S00091668,73,72,1,0,1
S00091669,61,59,2,1,1
S00091670,50,50,0,0,0
S00091671,71,69,2,2,0
S00091672,57,57,0,0,0
S00091673,52,51,1,0,1
S00091674,55,51,4,0,4
S00091675,52,52,0,0,0
S00091676,54,54,0,0,0
S00091677,74,71,3,0,3
S00091678,77,76,1,0,1
S00091679,51,48,3,0,3
S00091680,42,41,1,0,1
S00091681,51,50,1,0,1
S00091682,42,42,0,0,0
S00091683,36,36,0,0,0
S00091684,70,70,0,0,0
S00091685,50,50,0,0,0
S00091686,52,52,0,0,0
S00091687,50,50,0,0,0
S00091688,76,75,1,0,1
S00091689,49,49,0,0,0
S00091690,60,58,2,0,2
S00091691,40,40,0,0,0
S00091692,70,69,1,0,1
S00091693,77,77,0,0,0
S00091694,60,60,0,0,0
S00091695,47,46,1,0,1
S00091696,65,65,0,0,0
S00091697,37,37,0,0,0
S00091698,73,73,0,0,0
S00091699,48,45,3,0,3
S00091700,52,51,1,0,1
S00091701,52,51,1,0,1
S00091702,53,52,1,0,1
S00091703,43,42,1,0,1
S00091704,43,43,0,0,0
S00091705,61,61,0,0,0
S00091706,52,50,2,0,2
S00091707,52,50,2,0,2
S00091708,45,45,0,0,0
S00091709,59,57,2,0,2
S00091710,55,54,1,0,1
S00091711,26,26,0,0,0
S00091712,70,67,3,0,3
S00091713,41,40,1,0,1
S00091714,45,45,0,0,0
S00091715,39,35,4,2,2
S00091716,45,45,0,0,0
S00091717,40,36,4,0,4
S00091718,77,73,4,0,4
S00091719,56,54,2,1,1
S00091720,57,56,1,0,1
S00091721,67,64,3,0,3
S00091722,57,54,3,0,3
S00091723,96,94,2,0,2
S00091724,46,46,0,0,0
S00091725,41,41,0,0,0
S00091726,78,77,1,0,1
S00091727,77,76,1,0,1
S00091728,74,73,1,0,1
S00091729,57,56,1,0,1
S00091730,53,53,0,0,0
S00091731,46,42,4,0,4
S00091732,39,38,1,0,1
S00091733,48,45,3,0,3
S00091734,67,63,4,0,4
S00091735,42,39,3,1,2
S00091736,44,44,0,0,0
S00091737,62,59,3,1,2
S00091738,67,66,1,0,1
S00091739,64,62,2,0,2
S00091740,55,54,1,0,1
S00091741,58,57,1,0,1
S00091742,30,30,0,0,0
S00091743,55,53,2,0,2
S00091744,40,39,1,0,1
S00091745,52,50,2,0,2
S00091746,52,52,0,0,0
S00091747,60,59,1,0,1
S00091748,69,69,0,0,0
S00091749,35,32,3,0,3
S00091750,57,56,1,0,1
S00091751,51,51,0,0,0
S00091752,52,51,1,0,1
S00091753,55,54,1,0,1
S00091754,77,75,2,0,2
S00091755,41,40,1,0,1
S00091756,38,38,0,0,0
S00091757,54,53,1,0,1
S00091758,79,77,2,1,1
S00091759,56,55,1,0,1
S00091760,54,49,5,0,5
S00091761,57,57,0,0,0
S00091762,62,62,0,0,0
S00091763,58,57,1,0,1
S00091764,37,35,2,0,2
S00091765,46,45,1,0,1
S00091766,57,54,3,1,2
S00091767,63,61,2,0,2
S00091768,69,69,0,0,0
S00091769,69,66,3,0,3
S00091770,80,75,5,0,5
S00091771,60,57,3,2,1
S00091772,62,62,0,0,0
S00091773,62,62,0,0,0
S00091774,43,41,2,0,2
S00091775,51,51,0,0,0
S00091776,48,47,1,0,1
S00091777,42,40,2,0,2
S00091778,58,56,2,0,2
S00091779,61,60,1,1,0
S00091780,70,68,2,0,2
S00091781,60,57,3,0,3
S00091782,58,58,0,0,0
S00091783,47,45,2,0,2
S00091784,66,62,4,0,4
S00091785,57,57,0,0,0
S00091786,39,39,0,0,0
S00091787,44,43,1,0,1
S00091788,36,34,2,0,2
S00091789,55,55,0,0,0
S00091790,63,62,1,0,1
S00091791,49,48,1,0,1
S00091792,47,47,0,0,0
S00091793,56,56,0,0,0
S00091794,64,64,0,0,0
S00091795,75,70,5,0,5
S00091796,66,65,1,0,1
S00091797,71,69,2,0,2
S00091798,65,63,2,0,2
S00091799,52,51,1,0,1
S00091800,69,66,3,0,3
S00091801,53,51,2,0,2
S00091802,32,31,1,0,1
S00091803,52,51,1,0,1
S00091804,54,54,0,0,0
S00091805,50,48,2,0,2
S00091806,67,66,1,0,1
S00091807,96,96,0,0,0
S00091808,46,46,0,0,0
S00091809,55,54,1,1,0
S00091810,66,66,0,0,0
S00091811,56,55,1,0,1
S00091812,58,58,0,0,0
S00091813,50,50,0,0,0
S00091814,42,42,0,0,0
S00091815,58,58,0,0,0
S00091816,45,45,0,0,0
S00091817,69,67,2,2,0
S00091818,65,65,0,0,0
S00091819,69,63,6,2,4
S00091820,56,41,15,8,7
S00091821,77,73,4,0,4
S00091822,39,36,3,1,2
S00091823,57,54,3,0,3
S00091824,49,44,5,1,4
S00091825,56,54,2,0,2
S00091826,69,67,2,0,2
S00091827,41,38,3,0,3
S00091828,74,72,2,0,2
S00091829,47,42,5,1,4
S00091830,29,27,2,0,2
S00091831,78,77,1,0,1
S00091832,47,46,1,0,1
S00091833,71,67,4,0,4
S00091834,61,59,2,0,2
S00091835,65,65,0,0,0
S00091836,63,61,2,0,2
S00091837,58,57,1,0,1
S00091838,71,71,0,0,0
S00091839,68,68,0,0,0
S00091840,83,76,7,0,7
S00091841,76,74,2,0,2
S00091842,56,52,4,0,4
S00091843,56,53,3,0,3
S00091844,53,51,2,0,2
S00091845,79,77,2,0,2
S00091846,48,47,1,0,1
S00091847,63,58,5,1,4
S00091848,75,73,2,1,1
S00091849,46,45,1,0,1
S00091850,80,77,3,1,2
S00091851,49,43,6,0,6
S00091852,68,66,2,0,2
S00091853,67,64,3,0,3
S00091854,44,40,4,0,4
S00091855,53,51,2,0,2
S00091856,56,53,3,0,3
S00091857,49,49,0,0,0
S00091858,64,63,1,0,1
S00091859,68,68,0,0,0
S00091860,68,66,2,0,2
S00091861,57,55,2,0,2
S00091862,38,37,1,0,1
S00091863,60,52,8,0,8
S00091864,60,60,0,0,0
S00091865,23,23,0,0,0
S00091866,51,47,4,1,3
S00091867,38,37,1,0,1
S00091868,53,52,1,1,0
S00091869,45,42,3,1,2
S00091870,74,72,2,0,2
S00091871,54,53,1,0,1
S00091872,64,64,0,0,0
S00091873,54,54,0,0,0
S00091874,63,63,0,0,0
S00091875,53,53,0,0,0
S00091876,35,35,0,0,0
S00091877,27,25,2,2,0
S00091878,43,43,0,0,0
S00091879,70,69,1,0,1
S00091880,37,34,3,3,0
S00091881,67,67,0,0,0
S00091882,35,32,3,1,2
S00091883,60,59,1,1,0
S00091884,67,66,1,0,1
S00091885,72,70,2,0,2
S00091886,42,41,1,0,1
S00091887,77,77,0,0,0
S00091888,58,58,0,0,0
S00091889,28,28,0,0,0
S00091890,22,22,0,0,0
S00091891,69,69,0,0,0
S00091892,43,43,0,0,0
S00091893,49,48,1,0,1
S00091894,53,52,1,0,1
S00091895,42,41,1,0,1
S00091896,74,74,0,0,0
S00091897,60,60,0,0,0
S00091898,53,51,2,0,2
S00091899,60,56,4,0,4
S00091900,61,60,1,0,1
S00091901,43,42,1,0,1
S00091902,76,75,1,0,1
S00091903,44,42,2,0,2
S00091904,48,46,2,0,2
S00091905,75,74,1,0,1
S00091906,67,67,0,0,0
S00091907,58,57,1,0,1
S00091908,58,56,2,0,2
S00091909,42,41,1,0,1
S00091910,29,26,3,0,3
S00091911,71,60,11,0,11
S00091912,75,70,5,0,5
S00091913,58,58,0,0,0
S00091914,58,53,5,1,4
S00091915,78,74,4,0,4
S00091916,61,59,2,0,2
S00091917,58,57,1,0,1
S00091918,44,44,0,0,0
S00091919,42,42,0,0,0
S00091920,50,50,0,0,0
S00091921,55,55,0,0,0
S00091922,44,41,3,3,0
S00091923,49,49,0,0,0
S00091924,48,48,0,0,0
S00091925,53,50,3,1,2
S00091926,33,31,2,0,2
S00091927,78,77,1,0,1
S00091928,68,67,1,0,1
S00091929,57,57,0,0,0
S00091930,45,44,1,0,1
S00091931,47,45,2,0,2
S00091932,46,44,2,1,1
S00091933,52,49,3,1,2
S00091934,46,45,1,0,1
S00091935,61,59,2,1,1
S00091936,38,38,0,0,0
S00091937,51,49,2,1,1
S00091938,80,76,4,1,3
S00091939,66,59,7,5,2
S00091940,73,68,5,0,5
S00091941,68,66,2,0,2
S00091942,42,41,1,0,1
S00091943,56,50,6,4,2
S00091944,46,44,2,1,1
S00091945,56,47,9,6,3
S00091946,54,44,10,7,3
S00091947,52,46,6,1,5
S00091948,67,64,3,1,2
S00091949,73,59,14,6,8
S00091950,74,72,2,2,0
S00091951,20,20,0,0,0
S00091952,52,50,2,1,1
S00091953,49,46,3,0,3
S00091954,59,57,2,0,2
S00091955,52,43,9,0,9
S00091956,66,50,16,9,7
S00091957,68,58,10,0,10
S00091958,38,34,4,1,3
S00091959,45,40,5,0,5
S00091960,55,51,4,0,4
S00091961,62,52,10,0,10
S00091962,67,58,9,5,4
S00091963,59,42,17,3,14
S00091964,62,56,6,2,4
S00091965,47,32,15,9,6
S00091966,53,46,7,3,4
S00091967,33,29,4,0,4
S00091968,46,40,6,1,5
S00091969,28,28,0,0,0
S00091970,54,51,3,0,3
S00091971,50,50,0,0,0
S00091972,58,58,0,0,0
S00091973,39,38,1,0,1
S00091974,43,42,1,0,1
S00091975,64,60,4,0,4
S00091976,68,65,3,0,3
S00091977,26,25,1,1,0
S00091978,53,53,0,0,0
S00091979,28,28,0,0,0
S00091980,29,28,1,0,1
S00091981,65,57,8,0,8
S00091982,53,53,0,0,0
S00091983,41,41,0,0,0
S00091984,73,68,5,0,5
S00091985,62,55,7,0,7
S00091986,45,45,0,0,0
S00091987,51,51,0,0,0
S00091988,26,26,0,0,0
S00091989,35,34,1,0,1
S00091990,44,43,1,0,1
S00091991,36,35,1,0,1
S00091992,55,53,2,0,2
S00091993,57,55,2,0,2
S00091994,72,72,0,0,0
S00091995,40,40,0,0,0
S00091996,70,70,0,0,0
S00091997,51,50,1,0,1
S00091998,44,38,6,0,6
S00091999,74,71,3,0,3
S00092000,50,49,1,0,1
S00092001,45,42,3,0,3
S00092002,40,39,1,0,1
S00092003,74,69,5,0,5
S00092004,72,72,0,0,0
S00092005,77,75,2,0,2
S00092006,60,55,5,0,5
S00092007,49,46,3,0,3
S00092008,70,68,2,0,2
S00092009,55,53,2,0,2
S00092010,42,38,4,0,4
S00092011,40,40,0,0,0
S00092012,90,84,6,1,5
S00092013,74,69,5,1,4
S00092014,49,47,2,0,2
S00092015,74,74,0,0,0
S00092016,68,68,0,0,0
S00092017,64,62,2,0,2
S00092018,68,66,2,0,2
S00092019,54,54,0,0,0
S00092020,68,62,6,0,6
S00092021,39,37,2,0,2
S00092022,62,62,0,0,0
S00092023,37,37,0,0,0
S00092024,53,52,1,0,1
S00092025,65,63,2,1,1
S00092026,68,68,0,0,0
S00092027,53,51,2,0,2
S00092028,43,38,5,0,5
S00092029,43,42,1,0,1
S00092030,55,53,2,0,2
S00092031,57,55,2,0,2
S00092032,67,65,2,0,2
S00092033,31,31,0,0,0
S00092034,59,57,2,0,2
S00092035,50,47,3,1,2
S00092036,53,50,3,2,1
S00092037,73,68,5,2,3
S00092038,72,71,1,1,0
S00092039,67,64,3,2,1
S00092040,52,51,1,0,1
S00092041,33,32,1,0,1
S00092042,68,68,0,0,0
S00092043,60,58,2,1,1
S00092044,62,61,1,0,1
S00092045,70,70,0,0,0
S00092046,76,74,2,1,1
S00092047,62,61,1,0,1
S00092048,74,70,4,0,4
S00092049,71,70,1,0,1
S00092050,69,67,2,1,1
S00092051,80,72,8,2,6
S00092052,62,56,6,1,5
S00092053,48,40,8,2,6
S00092054,44,43,1,0,1
S00092055,75,73,2,0,2
S00092056,48,46,2,1,1
S00092057,45,43,2,0,2
S00092058,65,64,1,0,1
S00092059,56,54,2,0,2
S00092060,58,58,0,0,0
S00092061,40,39,1,0,1
S00092062,75,72,3,2,1
S00092063,63,61,2,0,2
S00092064,47,47,0,0,0
S00092065,34,33,1,0,1
S00092066,66,65,1,0,1
S00092067,73,72,1,0,1
S00092068,64,61,3,3,0
S00092069,47,47,0,0,0
S00092070,47,40,7,7,0
S00092071,51,51,0,0,0
S00092072,45,43,2,1,1
S00092073,55,52,3,0,3
S00092074,48,48,0,0,0
S00092075,39,32,7,6,1
S00092076,52,47,5,2,3
S00092077,71,68,3,2,1
S00092078,46,41,5,2,3
S00092079,56,53,3,0,3
S00092080,52,47,5,1,4
