output_area,All household spaces,Occupied household spaces,Unoccupied household spaces,Unoccupied household spaces: Second residence/holiday accommodation,Unoccupied household spaces: Vacant
S00089285,82,79,3,1,2
S00089286,71,68,3,1,2
S00089287,71,71,0,0,0
S00089288,52,48,4,4,0
S00089289,48,47,1,0,1
S00089290,33,31,2,2,0
S00089291,41,41,0,0,0
S00089292,42,42,0,0,0
S00089293,77,77,0,0,0
S00089294,73,67,6,5,1
S00089295,72,72,0,0,0
S00089296,67,66,1,0,1
S00089297,54,50,4,4,0
S00089298,49,48,1,0,1
S00089299,42,39,3,3,0
S00089300,42,41,1,1,0
S00089301,50,47,3,2,1
S00089302,44,41,3,3,0
S00089303,72,72,0,0,0
S00089304,66,62,4,3,1
S00089305,44,42,2,1,1
S00089306,69,68,1,0,1
S00089307,55,55,0,0,0
S00089308,28,27,1,0,1
S00089309,51,51,0,0,0
S00089310,73,72,1,0,1
S00089311,49,49,0,0,0
S00089312,69,69,0,0,0
S00089313,78,75,3,0,3
S00089314,124,73,51,4,47
S00089315,51,50,1,1,0
S00089316,50,49,1,0,1
S00089317,40,40,0,0,0
S00089318,46,45,1,1,0
S00089319,61,60,1,0,1
S00089320,49,47,2,1,1
S00089321,39,37,2,1,1
S00089322,57,55,2,0,2
S00089323,40,40,0,0,0
S00089324,46,46,0,0,0
S00089325,46,43,3,0,3
S00089326,56,56,0,0,0
S00089327,51,50,1,0,1
S00089328,70,59,11,1,10
S00089329,49,48,1,1,0
S00089330,72,69,3,1,2
S00089331,74,69,5,1,4
S00089332,73,67,6,4,2
S00089333,75,73,2,0,2
S00089334,68,67,1,0,1
S00089335,65,62,3,0,3
S00089336,44,44,0,0,0
S00089337,29,29,0,0,0
S00089338,75,73,2,0,2
S00089339,71,69,2,0,2
S00089340,69,68,1,0,1
S00089341,50,44,6,2,4
S00089342,69,62,7,6,1
S00089343,51,49,2,0,2
S00089344,42,42,0,0,0
S00089345,53,52,1,0,1
S00089346,66,64,2,2,0
S00089347,49,48,1,1,0
S00089348,41,39,2,2,0
S00089349,49,45,4,2,2
S00089350,59,52,7,4,3
S00089351,71,68,3,0,3
S00089352,61,60,1,0,1
S00089353,54,52,2,1,1
S00089354,42,41,1,1,0
S00089355,59,58,1,1,0
S00089356,22,22,0,0,0
S00089357,54,53,1,0,1
S00089358,42,42,0,0,0
S00089359,58,56,2,0,2
S00089360,68,68,0,0,0
S00089361,73,72,1,0,1
S00089362,67,61,6,0,6
S00089363,27,27,0,0,0
S00089364,73,67,6,5,1
S00089365,70,66,4,1,3
S00089366,54,54,0,0,0
S00089367,57,54,3,1,2
S00089368,37,37,0,0,0
S00089369,70,68,2,0,2
S00089370,76,74,2,0,2
S00089371,75,75,0,0,0
S00089372,40,40,0,0,0
S00089373,63,56,7,6,1
S00089374,32,32,0,0,0
S00089375,74,74,0,0,0
S00089376,71,71,0,0,0
S00089377,40,40,0,0,0
S00089378,41,41,0,0,0
S00089379,77,75,2,1,1
S00089380,64,64,0,0,0
S00089381,47,46,1,0,1
S00089382,59,59,0,0,0
S00089383,50,48,2,0,2
S00089384,47,47,0,0,0
S00089385,80,72,8,2,6
S00089386,80,76,4,1,3
S00089387,68,66,2,0,2
S00089388,57,56,1,0,1
S00089389,46,44,2,1,1
S00089390,44,42,2,2,0
S00089391,75,72,3,1,2
S00089392,47,46,1,0,1
S00089393,46,46,0,0,0
S00089394,48,44,4,3,1
S00089395,76,71,5,4,1
S00089396,62,61,1,0,1
S00089397,45,44,1,0,1
S00089398,47,46,1,0,1
S00089399,47,43,4,0,4
S00089400,47,47,0,0,0
S00089401,43,42,1,0,1
S00089402,56,53,3,0,3
S00089403,41,41,0,0,0
S00089404,42,42,0,0,0
S00089405,45,44,1,0,1
S00089406,52,51,1,0,1
S00089407,63,62,1,0,1
S00089408,51,49,2,0,2
S00089409,50,49,1,0,1
S00089410,42,41,1,0,1
S00089411,35,34,1,0,1
S00089412,77,76,1,0,1
S00089413,66,66,0,0,0
S00089414,43,41,2,0,2
S00089415,47,44,3,0,3
S00089416,55,54,1,0,1
S00089417,54,53,1,0,1
S00089418,56,55,1,0,1
S00089419,59,56,3,1,2
S00089420,61,59,2,2,0
S00089421,63,63,0,0,0
S00089422,59,54,5,4,1
S00089423,60,59,1,0,1
S00089424,56,52,4,2,2
