output_area,All people in households,Up to 0.5 persons per room,Over 0.5 and up to 1.0 persons per room,Over 1.0 and up to 1.5 persons per room,Over 1.5 persons per room
S00089026,67,48,16,3,0
S00089027,101,51,48,0,2
S00089028,78,48,30,0,0
S00089029,82,56,26,0,0
S00089030,66,38,25,3,0
S00089031,143,82,49,12,0
S00089032,63,34,25,0,4
S00089033,95,50,45,0,0
S00089034,58,37,21,0,0
S00089035,106,68,34,4,0
S00089036,62,32,26,0,4
S00089037,87,56,31,0,0
S00089038,58,25,24,6,3
S00089039,80,33,40,3,4
S00089040,91,34,43,5,9
S00089041,146,83,48,8,7
S00089042,68,26,42,0,0
S00089043,148,47,74,17,10
S00089044,71,30,41,0,0
S00089045,73,38,32,3,0
S00089046,95,55,40,0,0
S00089047,110,72,22,16,0
S00089048,91,55,32,4,0
S00089049,130,44,74,12,0
S00089050,108,51,57,0,0
S00089051,146,72,49,13,12
S00089052,148,77,67,4,0
S00089053,114,53,45,14,2
S00089054,76,36,32,8,0
S00089055,86,44,38,4,0
S00089056,71,42,25,0,4
S00089057,85,52,33,0,0
S00089058,96,55,35,6,0
S00089059,55,40,15,0,0
S00089060,61,27,26,3,5
S00089061,75,25,36,7,7
S00089062,53,31,13,9,0
S00089063,83,27,45,11,0
S00089064,84,51,33,0,0
S00089065,95,54,25,14,2
S00089066,64,30,34,0,0
S00089067,108,45,35,28,0
S00089068,73,28,41,0,4
S00089069,60,25,26,0,9
S00089070,127,56,60,7,4
S00089071,88,41,39,3,5
S00089072,113,57,35,6,15
S00089073,94,51,33,8,2
S00089074,145,53,70,22,0
S00089075,87,32,38,17,0
S00089076,113,74,37,0,2
S00089077,90,37,45,0,8
S00089078,52,36,10,0,6
S00089079,61,22,33,0,6
S00089080,100,36,48,16,0
S00089081,74,47,27,0,0
S00089082,82,41,35,6,0
S00089083,120,47,70,3,0
S00089084,100,52,48,0,0
S00089085,121,48,73,0,0
S00089086,100,32,55,5,8
S00089087,141,69,60,4,8
S00089088,93,38,49,6,0
S00089089,110,51,59,0,0
S00089090,126,47,63,11,5
S00089091,150,35,89,26,0
S00089092,171,43,109,19,0
S00089093,166,63,77,21,5
S00089094,90,32,53,5,0
S00089095,119,43,58,13,5
S00089096,97,30,67,0,0
S00089097,83,52,26,5,0
S00089098,82,25,44,8,5
S00089099,120,47,46,23,4
S00089100,101,46,51,4,0
S00089101,75,38,32,0,5
S00089102,86,35,43,5,3
S00089103,89,46,33,10,0
S00089104,67,37,27,3,0
S00089105,96,65,31,0,0
S00089106,89,52,34,3,0
S00089107,82,50,28,0,4
S00089108,92,50,42,0,0
S00089109,60,26,24,5,5
S00089110,109,57,52,0,0
S00089111,147,44,90,13,0
S00089112,151,82,62,7,0
S00089113,64,54,10,0,0
S00089114,117,33,84,0,0
S00089115,154,50,95,0,9
S00089116,206,44,127,35,0
S00089117,125,59,61,5,0
S00089118,145,88,53,4,0
S00089119,87,70,17,0,0
S00089120,75,57,18,0,0
S00089121,115,64,46,3,2
S00089122,65,40,25,0,0
S00089123,151,48,72,31,0
S00089124,105,39,43,7,16
S00089125,164,50,111,3,0
S00089126,116,49,58,9,0
S00089127,93,39,48,0,6
S00089128,97,34,57,6,0
S00089129,197,99,93,5,0
S00089130,93,49,44,0,0
S00089131,102,40,62,0,0
S00089132,87,49,38,0,0
S00089133,87,47,40,0,0
S00089134,129,74,55,0,0
S00089135,144,102,42,0,0
S00089136,112,74,38,0,0
S00089137,102,76,26,0,0
S00089138,55,45,10,0,0
S00089139,86,40,35,11,0
S00089140,100,42,58,0,0
S00089141,120,66,49,5,0
S00089142,137,45,88,4,0
S00089143,99,56,43,0,0
S00089144,91,45,46,0,0
S00089145,124,47,73,4,0
S00089146,117,34,49,14,20
S00089147,96,66,26,0,4
S00089148,123,37,62,7,17
S00089149,124,28,68,28,0
S00089150,151,71,67,10,3
S00089151,61,37,18,6,0
S00089152,54,39,13,0,2
S00089153,63,47,11,0,5
S00089154,67,32,35,0,0
S00089155,84,51,33,0,0
S00089156,105,48,52,5,0
S00089157,105,45,60,0,0
S00089158,136,50,86,0,0
S00089159,90,48,30,12,0
S00089160,112,53,59,0,0
S00089161,95,48,47,0,0
S00089162,77,33,44,0,0
S00089163,115,57,46,12,0
S00089164,78,46,27,5,0
S00089165,105,51,48,6,0
S00089166,150,62,88,0,0
S00089167,107,52,55,0,0
S00089168,64,48,14,0,2
S00089169,117,42,64,11,0
S00089170,90,43,47,0,0
