output_area,All people in households,Up to 0.5 persons per room,Over 0.5 and up to 1.0 persons per room,Over 1.0 and up to 1.5 persons per room,Over 1.5 persons per room
S00094406,124,73,51,0,0
S00094407,79,56,19,4,0
S00094408,69,46,23,0,0
S00094409,53,37,16,0,0
S00094410,59,45,14,0,0
S00094411,82,57,23,0,2
S00094412,91,65,23,3,0
S00094413,80,59,21,0,0
S00094414,85,63,22,0,0
S00094415,98,70,28,0,0
S00094416,129,69,60,0,0
S00094417,62,43,17,0,2
S00094418,107,61,46,0,0
S00094419,119,80,33,0,6
S00094420,90,67,23,0,0
S00094421,110,86,24,0,0
S00094422,124,89,35,0,0
S00094423,137,97,40,0,0
S00094424,126,67,59,0,0
S00094425,105,70,35,0,0
S00094426,108,73,35,0,0
S00094427,110,48,56,6,0
S00094428,93,48,42,3,0
S00094429,64,34,30,0,0
S00094430,88,73,15,0,0
S00094431,72,51,21,0,0
S00094432,94,86,8,0,0
S00094433,125,73,42,10,0
S00094434,160,119,41,0,0
S00094435,147,84,63,0,0
S00094436,114,32,69,13,0
S00094437,156,63,93,0,0
S00094438,60,13,47,0,0
S00094439,108,29,79,0,0
S00094440,157,37,114,6,0
S00094441,156,84,72,0,0
S00094442,142,76,60,6,0
S00094443,129,64,65,0,0
S00094444,216,109,107,0,0
S00094445,121,84,33,4,0
S00094446,119,73,46,0,0
S00094447,166,113,53,0,0
S00094448,111,74,37,0,0
S00094449,113,84,29,0,0
S00094450,116,81,35,0,0
S00094451,179,150,23,6,0
S00094452,66,58,8,0,0
S00094453,69,42,27,0,0
S00094454,161,115,40,6,0
S00094455,146,109,37,0,0
S00094456,141,104,37,0,0
S00094457,152,108,39,5,0
S00094458,152,123,29,0,0
S00094459,60,51,9,0,0
S00094460,142,133,9,0,0
S00094461,112,83,29,0,0
S00094462,154,101,53,0,0
S00094463,110,80,30,0,0
S00094464,195,177,18,0,0
S00094465,128,105,23,0,0
S00094466,97,79,13,5,0
S00094467,121,104,17,0,0
S00094468,109,81,28,0,0
S00094469,135,63,72,0,0
S00094470,53,42,11,0,0
S00094471,72,27,33,6,6
S00094472,118,59,52,7,0
S00094473,98,52,46,0,0
S00094474,114,60,54,0,0
S00094475,85,52,31,0,2
S00094476,94,42,52,0,0
S00094477,57,23,34,0,0
S00094478,126,101,22,3,0
S00094479,160,83,77,0,0
S00094480,81,41,40,0,0
S00094481,112,68,44,0,0
S00094482,202,79,119,4,0
S00094483,124,77,47,0,0
S00094484,145,109,31,0,5
S00094485,95,51,44,0,0
S00094486,144,96,48,0,0
S00094487,142,100,40,0,2
S00094488,129,88,41,0,0
S00094489,132,67,65,0,0
S00094490,85,55,26,0,4
S00094491,63,37,26,0,0
S00094492,116,68,48,0,0
S00094493,79,56,18,5,0
S00094494,107,68,32,7,0
S00094495,138,70,56,12,0
S00094496,146,108,38,0,0
S00094497,70,30,30,10,0
S00094498,106,56,50,0,0
S00094499,136,54,82,0,0
S00094500,118,85,28,5,0
S00094501,139,55,84,0,0
S00094502,66,34,32,0,0
S00094503,161,95,66,0,0
S00094504,132,84,48,0,0
S00094505,138,29,103,6,0
S00094506,100,41,53,6,0
S00094507,132,36,90,6,0
S00094508,148,88,60,0,0
S00094509,128,55,73,0,0
S00094510,115,83,26,6,0
S00094511,55,47,8,0,0
S00094512,121,74,47,0,0
S00094513,104,81,18,5,0
S00094514,143,83,60,0,0
S00094515,84,55,20,9,0
S00094516,127,89,38,0,0
S00094517,90,50,32,6,2
S00094518,65,54,11,0,0
S00094519,99,56,39,4,0
S00094520,145,88,53,4,0
S00094521,73,36,29,6,2
S00094522,104,73,31,0,0
S00094523,94,56,38,0,0
S00094524,129,70,59,0,0
S00094525,87,53,34,0,0
S00094526,53,34,19,0,0
S00094527,80,21,59,0,0
S00094528,172,78,89,5,0
S00094529,111,51,60,0,0
S00094530,113,72,41,0,0
S00094531,103,33,70,0,0
S00094532,117,69,48,0,0
S00094533,108,81,27,0,0
S00094534,126,70,53,0,3
S00094535,138,79,59,0,0
S00094536,134,66,59,5,4
S00094537,156,68,73,15,0
S00094538,144,95,44,5,0
S00094539,75,54,21,0,0
S00094540,113,77,36,0,0
S00094541,103,70,33,0,0
S00094542,82,42,40,0,0
S00094543,83,41,42,0,0
S00094544,99,59,36,4,0
S00094545,73,39,30,0,4
S00094546,83,56,27,0,0
S00094547,125,53,63,9,0
S00094548,72,46,26,0,0
S00094549,135,70,65,0,0
S00094550,52,23,22,5,2
S00094551,106,67,34,5,0
S00094552,175,77,88,6,4
S00094553,129,48,76,0,5
S00094554,139,60,61,13,5
S00094555,112,59,47,6,0
S00094556,153,80,68,5,0
S00094557,50,42,8,0,0
S00094558,112,68,44,0,0
S00094559,121,80,37,4,0
S00094560,100,83,17,0,0
S00094561,159,76,83,0,0
S00094562,64,42,22,0,0
S00094563,71,40,31,0,0
S00094564,109,58,51,0,0
S00094565,76,62,14,0,0
S00094566,61,46,15,0,0
S00094567,118,73,45,0,0
S00094568,114,83,31,0,0
S00094569,145,110,35,0,0
S00094570,137,77,50,10,0
S00094571,106,42,64,0,0
S00094572,167,92,70,5,0
S00094573,70,43,27,0,0
S00094574,128,74,54,0,0
S00094575,94,45,45,4,0
S00094576,59,27,28,4,0
S00094577,108,57,45,6,0
S00094578,109,66,36,7,0
S00094579,55,46,6,3,0
S00094580,135,88,47,0,0
S00094581,169,114,55,0,0
S00094582,87,58,29,0,0
S00094583,105,77,28,0,0
S00094584,108,69,39,0,0
S00094585,136,87,43,6,0
S00094586,119,79,35,0,5
S00094587,116,81,35,0,0
S00094588,81,45,36,0,0
S00094589,87,48,29,10,0
S00094590,103,52,43,8,0
S00094591,129,102,27,0,0
S00094592,89,64,25,0,0
S00094593,92,61,31,0,0
S00094594,125,101,17,7,0
S00094595,119,77,42,0,0
S00094596,90,72,18,0,0
S00094597,78,58,20,0,0
S00094598,121,101,14,6,0
S00094599,128,81,47,0,0
S00094600,107,80,27,0,0
S00094601,117,85,32,0,0
S00094602,132,72,60,0,0
S00094603,166,112,54,0,0
S00094604,75,55,20,0,0
S00094605,99,47,52,0,0
S00094606,168,71,79,18,0
S00094607,63,41,22,0,0
S00094608,148,63,76,9,0
S00094609,65,37,28,0,0
S00094610,92,74,18,0,0
S00094611,86,59,27,0,0
S00094612,78,60,18,0,0
S00094613,56,41,15,0,0
S00094614,76,45,31,0,0
S00094615,155,88,59,0,8
S00094616,62,46,16,0,0
S00094617,51,25,26,0,0
S00094618,118,90,22,6,0
S00094619,113,70,43,0,0
S00094620,97,52,45,0,0
S00094621,60,32,28,0,0
S00094622,83,58,25,0,0
S00094623,56,26,25,5,0
S00094624,122,88,34,0,0
S00094625,77,49,15,4,9
S00094626,117,81,27,5,4
S00094627,87,53,34,0,0
S00094628,65,45,20,0,0
S00094629,99,52,47,0,0
S00094630,80,26,44,5,5
S00094631,58,49,9,0,0
S00094632,60,44,16,0,0
S00094633,66,55,11,0,0
S00094634,62,31,31,0,0
S00094635,80,26,54,0,0
S00094636,113,67,46,0,0
S00094637,112,74,32,6,0
S00094638,140,67,73,0,0
S00094639,57,31,22,4,0
S00094640,65,54,11,0,0
S00094641,99,92,7,0,0
S00094642,104,22,73,4,5
S00094643,116,85,31,0,0
S00094644,153,28,118,7,0
S00094645,148,29,103,16,0
S00094646,64,48,16,0,0
S00094647,127,85,42,0,0
S00094648,107,76,31,0,0
S00094649,68,51,17,0,0
S00094650,82,71,11,0,0
S00094651,74,69,5,0,0
S00094652,112,67,38,0,7
S00094653,77,58,19,0,0
S00094654,80,58,22,0,0
S00094655,111,84,22,0,5
S00094656,53,34,19,0,0
S00094657,83,39,44,0,0
S00094658,99,62,37,0,0
S00094659,70,56,14,0,0
S00094660,79,49,30,0,0
S00094661,82,46,36,0,0
S00094662,73,46,23,4,0
S00094663,108,67,41,0,0
S00094664,165,118,41,6,0
S00094665,124,38,74,12,0
S00094666,64,25,39,0,0
S00094667,139,71,63,0,5
S00094668,65,49,16,0,0
S00094669,154,97,49,0,8
S00094670,70,44,19,5,2
S00094671,84,54,30,0,0
S00094672,88,72,16,0,0
S00094673,109,47,62,0,0
S00094674,153,68,85,0,0
S00094675,118,69,49,0,0
S00094676,80,41,39,0,0
S00094677,72,51,11,10,0
S00094678,54,43,11,0,0
S00094679,137,60,72,5,0
S00094680,65,24,35,6,0
S00094681,161,46,115,0,0
S00094682,128,64,42,15,7
S00094683,164,108,50,6,0
S00094684,82,55,27,0,0
S00094685,116,82,22,6,6
S00094686,105,73,32,0,0
S00094687,83,50,33,0,0
S00094688,120,103,17,0,0
S00094689,56,53,3,0,0
S00094690,72,63,9,0,0
S00094691,113,62,51,0,0
S00094692,57,38,19,0,0
S00094693,87,43,38,6,0
S00094694,113,80,33,0,0
S00094695,128,103,25,0,0
S00094696,87,61,26,0,0
S00094697,52,39,8,5,0
S00094698,63,50,13,0,0
S00094699,84,33,39,0,12
S00094700,104,55,49,0,0
S00094701,81,51,23,7,0
S00094702,127,73,54,0,0
S00094703,114,56,52,6,0
S00094704,80,52,28,0,0
S00094705,69,30,37,0,2
S00094706,194,119,75,0,0
S00094707,85,68,17,0,0
S00094708,71,52,19,0,0
S00094709,72,61,11,0,0
S00094710,126,70,56,0,0
S00094711,138,93,38,7,0
S00094712,108,58,50,0,0
S00094713,143,69,74,0,0
S00094714,143,65,78,0,0
S00094715,103,43,55,0,5
S00094716,158,94,59,5,0
S00094717,170,84,83,3,0
S00094718,110,55,52,3,0
S00094719,150,124,21,5,0
S00094720,58,37,21,0,0
S00094721,62,35,25,0,2
S00094722,127,76,51,0,0
S00094723,168,118,50,0,0
S00094724,134,92,37,5,0
S00094725,81,58,23,0,0
S00094726,110,75,35,0,0
S00094727,93,64,29,0,0
S00094728,122,66,56,0,0
S00094729,95,34,51,10,0
S00094730,102,76,26,0,0
S00094731,120,83,31,6,0
S00094732,88,70,18,0,0
S00094733,52,45,7,0,0
S00094734,143,79,64,0,0
S00094735,116,64,44,8,0
S00094736,128,79,49,0,0
S00094737,110,77,33,0,0
S00094738,50,22,28,0,0
S00094739,125,92,29,0,4
S00094740,77,66,11,0,0
S00094741,52,31,21,0,0
S00094742,96,61,32,3,0
S00094743,120,46,74,0,0
S00094744,77,61,16,0,0
S00094745,73,71,2,0,0
S00094746,89,52,32,5,0
S00094747,61,44,17,0,0
S00094748,78,58,20,0,0
S00094749,87,68,19,0,0
S00094750,74,35,34,0,5
S00094751,74,47,24,0,3
S00094752,84,29,55,0,0
S00094753,114,79,29,6,0
S00094754,110,95,15,0,0
S00094755,83,74,9,0,0
S00094756,55,22,33,0,0
S00094757,99,73,26,0,0
S00094758,141,86,55,0,0
S00094759,121,67,54,0,0
S00094760,76,36,31,9,0
S00094761,75,66,9,0,0
S00094762,89,44,45,0,0
S00094763,72,48,24,0,0
S00094764,90,72,18,0,0
S00094765,52,40,12,0,0
S00094766,171,67,93,11,0
S00094767,138,78,60,0,0
S00094768,96,46,38,12,0
S00094769,136,90,46,0,0
S00094770,142,44,94,4,0
S00094771,65,44,21,0,0
S00094772,86,55,31,0,0
S00094773,107,63,44,0,0
S00094774,130,62,61,0,7
S00094775,114,91,23,0,0
S00094776,170,72,88,5,5
S00094777,70,29,37,4,0
S00094778,91,76,15,0,0
S00094779,65,35,20,10,0
S00094780,112,68,41,3,0
S00094781,79,27,46,6,0
S00094782,105,31,63,11,0
S00094783,152,80,64,8,0
S00094784,131,58,67,6,0
S00094785,80,36,44,0,0
S00094786,173,100,73,0,0
S00094787,128,80,48,0,0
S00094788,190,72,114,0,4
S00094789,73,30,37,6,0
S00094790,100,60,38,0,2
S00094791,127,56,71,0,0
S00094792,212,69,133,6,4
S00094793,156,81,71,4,0
S00094794,206,67,118,14,7
S00094795,112,39,73,0,0
S00094796,112,73,39,0,0
S00094797,78,42,29,3,4
S00094798,83,71,12,0,0
S00094799,89,64,25,0,0
S00094800,97,62,27,8,0
S00094801,61,24,35,0,2
S00094802,97,83,14,0,0
S00094803,119,66,53,0,0
S00094804,110,79,31,0,0
S00094805,85,62,23,0,0
S00094806,115,75,34,0,6
S00094807,156,89,61,6,0
S00094808,183,111,67,5,0
S00094809,120,83,37,0,0
S00094810,109,79,24,6,0
S00094811,126,107,19,0,0
S00094812,95,67,16,12,0
S00094813,98,61,37,0,0
S00094814,166,128,38,0,0
S00094815,83,65,18,0,0
S00094816,83,43,40,0,0
S00094817,95,69,26,0,0
S00094818,106,70,33,0,3
S00094819,64,44,20,0,0
S00094820,99,76,23,0,0
S00094821,129,82,44,3,0
S00094822,165,113,48,4,0
S00094823,104,67,37,0,0
S00094824,79,58,21,0,0
S00094825,121,104,17,0,0
S00094826,51,37,14,0,0
S00094827,138,90,43,5,0
S00094828,100,79,21,0,0
S00094829,169,81,83,0,5
S00094830,72,39,33,0,0
S00094831,148,99,38,11,0
S00094832,161,117,44,0,0
S00094833,126,95,31,0,0
S00094834,62,46,16,0,0
S00094835,102,67,31,4,0
S00094836,173,113,60,0,0
S00094837,111,74,33,0,4
S00094838,114,72,42,0,0
S00094839,58,48,10,0,0
S00094840,119,77,42,0,0
S00094841,98,64,29,5,0
S00094842,175,117,58,0,0
S00094843,142,74,68,0,0
S00094844,134,92,37,5,0
S00094845,132,76,51,0,5
S00094846,153,113,40,0,0
S00094847,140,108,32,0,0
S00094848,91,65,26,0,0
S00094849,154,102,52,0,0
S00094850,143,90,53,0,0
S00094851,87,74,13,0,0
S00094852,96,64,32,0,0
S00094853,65,38,27,0,0
S00094854,119,55,58,6,0
S00094855,154,93,54,7,0
S00094856,109,69,40,0,0
S00094857,64,47,17,0,0
S00094858,128,94,25,9,0
S00094859,92,74,18,0,0
S00094860,100,76,24,0,0
S00094861,99,60,39,0,0
S00094862,99,59,40,0,0
S00094863,168,125,43,0,0
S00094864,82,52,30,0,0
S00094865,143,121,22,0,0
S00094866,192,82,106,4,0
S00094867,104,37,62,5,0
S00094868,135,95,32,5,3
S00094869,94,66,28,0,0
S00094870,112,65,47,0,0
S00094871,59,37,22,0,0
S00094872,136,97,35,0,4
S00094873,127,114,13,0,0
S00094874,126,110,16,0,0
S00094875,173,109,64,0,0
S00094876,148,108,40,0,0
S00094877,85,63,22,0,0
S00094878,135,96,39,0,0
S00094879,190,48,131,11,0
S00094880,114,86,28,0,0
S00094881,75,47,28,0,0
S00094882,114,83,31,0,0
S00094883,99,66,33,0,0
S00094884,96,78,18,0,0
S00094885,86,43,35,0,8
S00094886,138,111,27,0,0
S00094887,90,52,32,6,0
S00094888,156,125,26,5,0
S00094889,114,64,50,0,0
S00094890,68,41,27,0,0
S00094891,134,79,55,0,0
S00094892,103,79,24,0,0
S00094893,77,52,25,0,0
S00094894,99,77,22,0,0
S00094895,74,56,18,0,0
S00094896,180,143,37,0,0
S00094897,72,63,9,0,0
S00094898,121,88,33,0,0
S00094899,173,104,65,0,4
S00094900,155,99,56,0,0
S00094901,140,115,25,0,0
S00094902,129,97,32,0,0
S00094903,129,93,36,0,0
S00094904,110,68,42,0,0
S00094905,87,55,30,0,2
S00094906,132,78,48,6,0
S00094907,121,56,65,0,0
S00094908,100,70,30,0,0
S00094909,58,24,34,0,0
S00094910,154,81,73,0,0
S00094911,159,84,75,0,0
S00094912,72,61,11,0,0
S00094913,83,61,22,0,0
S00094914,105,62,43,0,0
S00094915,119,75,44,0,0
S00094916,155,95,60,0,0
S00094917,117,97,20,0,0
S00094918,168,136,32,0,0
S00094919,92,64,23,5,0
S00094920,166,114,52,0,0
S00094921,85,63,22,0,0
S00094922,84,62,22,0,0
S00094923,107,88,19,0,0
S00094924,103,80,23,0,0
S00094925,85,67,18,0,0
S00094926,158,107,45,6,0
S00094927,139,115,18,6,0
S00094928,129,104,25,0,0
S00094929,166,106,60,0,0
S00094930,122,90,32,0,0
S00094931,82,58,24,0,0
S00094932,62,49,13,0,0
S00094933,112,78,31,3,0
S00094934,104,81,17,6,0
S00094935,139,67,72,0,0
S00094936,110,70,35,5,0
S00094937,114,89,19,6,0
S00094938,165,122,39,0,4
S00094939,96,66,30,0,0
S00094940,140,88,52,0,0
S00094941,168,135,33,0,0
S00094942,97,65,32,0,0
S00094943,106,78,28,0,0
S00094944,157,101,56,0,0
S00094945,159,128,31,0,0
S00094946,72,60,12,0,0
S00094947,142,87,55,0,0
S00094948,135,76,59,0,0
S00094949,117,75,42,0,0
S00094950,98,88,10,0,0
S00094951,84,61,23,0,0
S00094952,122,78,44,0,0
S00094953,154,111,39,4,0
S00094954,98,67,31,0,0
S00094955,162,114,48,0,0
S00094956,139,96,43,0,0
S00094957,115,82,33,0,0
S00094958,141,89,52,0,0
S00094959,74,46,28,0,0
S00094960,142,114,28,0,0
S00094961,108,62,41,5,0
S00094962,100,63,37,0,0
S00094963,99,81,18,0,0
S00094964,92,73,19,0,0
S00094965,91,63,28,0,0
S00094966,74,49,25,0,0
S00094967,102,73,29,0,0
S00094968,62,56,6,0,0
S00094969,102,65,37,0,0
S00094970,135,101,32,0,2
S00094971,103,74,26,3,0
S00094972,140,107,28,5,0
S00094973,70,45,25,0,0
S00094974,150,98,52,0,0
S00094975,106,57,49,0,0
S00094976,104,57,43,0,4
S00094977,88,48,29,9,2
S00094978,128,84,44,0,0
S00094979,121,87,29,5,0
S00094980,67,42,21,4,0
S00094981,105,71,34,0,0
S00094982,135,94,41,0,0
S00094983,156,127,29,0,0
S00094984,118,84,34,0,0
S00094985,88,62,26,0,0
S00094986,55,51,4,0,0
S00094987,107,92,15,0,0
S00094988,60,55,5,0,0
S00094989,120,82,38,0,0
S00094990,92,64,28,0,0
S00094991,110,67,43,0,0
S00094992,65,43,22,0,0
S00094993,95,71,24,0,0
S00094994,96,80,16,0,0
S00094995,104,94,10,0,0
S00094996,59,44,15,0,0
S00094997,92,69,23,0,0
S00094998,139,96,41,0,2
S00094999,69,54,15,0,0
S00095000,71,54,17,0,0
S00095001,112,88,24,0,0
S00095002,96,58,38,0,0
S00095003,60,45,15,0,0
S00095004,81,55,26,0,0
S00095005,81,48,33,0,0
S00095006,150,112,38,0,0
S00095007,102,85,17,0,0
S00095008,59,36,23,0,0
S00095009,155,114,35,6,0
S00095010,66,35,31,0,0
S00095011,120,76,36,8,0
S00095012,118,70,38,10,0
S00095013,212,104,103,0,5
S00095014,79,55,16,8,0
S00095015,113,72,41,0,0
S00095016,90,68,22,0,0
S00095017,93,71,22,0,0
S00095018,122,80,38,4,0
S00095019,106,91,15,0,0
S00095020,102,64,38,0,0
S00095021,112,78,34,0,0
S00095022,149,114,35,0,0
S00095023,144,94,46,4,0
S00095024,88,38,45,0,5
S00095025,145,96,49,0,0
S00095026,184,131,53,0,0
S00095027,103,39,64,0,0
S00095028,117,110,7,0,0
S00095029,144,120,22,0,2
S00095030,144,97,47,0,0
S00095031,127,85,30,12,0
S00095032,114,69,45,0,0
S00095033,125,100,25,0,0
S00095034,79,57,18,4,0
S00095035,121,84,37,0,0
S00095036,123,84,39,0,0
S00095037,124,53,71,0,0
S00095038,81,53,28,0,0
S00095039,85,54,31,0,0
S00095040,90,61,25,0,4
S00095041,102,53,49,0,0
S00095042,68,52,16,0,0
S00095043,109,73,36,0,0
S00095044,98,72,26,0,0
S00095045,130,77,53,0,0
S00095046,131,70,57,4,0
S00095047,75,54,21,0,0
S00095048,124,95,22,7,0
S00095049,70,52,18,0,0
S00095050,70,44,20,6,0
S00095051,93,55,38,0,0
S00095052,110,80,30,0,0
S00095053,93,65,25,3,0
S00095054,84,49,35,0,0
S00095055,150,68,82,0,0
S00095056,109,57,46,6,0
S00095057,113,45,63,5,0
S00095058,153,100,53,0,0
S00095059,158,89,62,7,0
S00095060,82,40,42,0,0
S00095061,142,70,72,0,0
S00095062,108,52,54,0,2
S00095063,88,41,42,5,0
S00095064,146,89,57,0,0
S00095065,148,68,80,0,0
S00095066,151,85,60,6,0
S00095067,103,79,24,0,0
S00095068,101,81,20,0,0
S00095069,145,101,44,0,0
S00095070,102,64,38,0,0
S00095071,123,60,63,0,0
S00095072,96,56,40,0,0
S00095073,104,28,61,15,0
S00095074,53,33,20,0,0
S00095075,95,65,25,5,0
S00095076,61,42,19,0,0
S00095077,116,45,43,28,0
S00095078,126,46,75,5,0
S00095079,116,36,59,12,9
S00095080,107,43,58,6,0
S00095081,132,56,70,6,0
S00095082,97,49,43,5,0
S00095083,148,63,80,5,0
S00095084,98,42,49,7,0
S00095085,121,38,77,6,0
S00095086,207,64,108,28,7
S00095087,97,23,64,6,4
S00095088,89,42,43,4,0
S00095089,122,37,75,10,0
S00095090,109,22,83,4,0
S00095091,168,59,97,12,0
S00095092,121,38,66,17,0
S00095093,185,72,95,18,0
S00095094,143,56,74,13,0
S00095095,109,61,48,0,0
S00095096,139,75,61,3,0
S00095097,54,39,15,0,0
S00095098,61,45,16,0,0
S00095099,71,41,20,0,10
S00095100,161,115,46,0,0
S00095101,109,84,20,5,0
S00095102,119,85,29,5,0
S00095103,139,69,70,0,0
S00095104,71,37,34,0,0
S00095105,107,61,46,0,0
S00095106,139,76,63,0,0
S00095107,72,61,11,0,0
S00095108,99,77,22,0,0
S00095109,85,60,23,0,2
S00095110,81,54,27,0,0
S00095111,136,100,30,0,6
S00095112,52,36,16,0,0
S00095113,142,88,54,0,0
S00095114,73,44,29,0,0
S00095115,77,59,18,0,0
S00095116,90,62,28,0,0
S00095117,134,71,63,0,0
S00095118,95,78,17,0,0
S00095119,72,48,24,0,0
S00095120,92,58,34,0,0
S00095121,134,77,57,0,0
S00095122,100,55,35,0,10
S00095123,165,91,74,0,0
S00095124,106,59,47,0,0
S00095125,62,41,21,0,0
S00095126,99,58,41,0,0
S00095127,121,75,46,0,0
S00095128,178,90,82,6,0
S00095129,79,56,23,0,0
S00095130,154,76,76,0,2
S00095131,110,49,61,0,0
S00095132,121,79,42,0,0
S00095133,122,94,22,6,0
S00095134,164,86,78,0,0
S00095135,112,92,20,0,0
S00095136,59,39,20,0,0
S00095137,88,59,29,0,0
S00095138,72,43,29,0,0
S00095139,109,67,42,0,0
S00095140,89,54,35,0,0
S00095141,80,57,23,0,0
S00095142,92,55,30,7,0
S00095143,73,50,23,0,0
S00095144,103,73,30,0,0
S00095145,77,42,35,0,0
S00095146,64,45,19,0,0
S00095147,71,49,22,0,0
S00095148,76,64,12,0,0
S00095149,59,35,14,10,0
S00095150,95,84,11,0,0
S00095151,83,68,15,0,0
S00095152,119,64,55,0,0
S00095153,80,56,24,0,0
S00095154,137,104,33,0,0
S00095155,97,58,39,0,0
S00095156,66,52,14,0,0
S00095157,87,54,29,0,4
S00095158,89,63,22,0,4
S00095159,106,72,21,13,0
S00095160,139,91,42,6,0
S00095161,84,45,34,5,0
S00095162,98,53,45,0,0
S00095163,121,45,70,6,0
S00095164,74,43,31,0,0
S00095165,95,53,42,0,0
S00095166,171,60,104,0,7
S00095167,120,72,42,6,0
S00095168,114,51,63,0,0
S00095169,155,86,69,0,0
S00095170,56,48,8,0,0
S00095171,101,72,20,9,0
S00095172,125,61,53,11,0
S00095173,141,85,52,4,0
S00095174,159,70,67,22,0
S00095175,146,68,78,0,0
S00095176,80,40,34,6,0
S00095177,140,73,67,0,0
S00095178,82,36,46,0,0
S00095179,111,57,54,0,0
S00095180,125,45,71,9,0
S00095181,123,83,40,0,0
S00095182,172,83,85,4,0
S00095183,123,89,30,4,0
S00095184,80,59,21,0,0
S00095185,79,35,44,0,0
S00095186,90,68,22,0,0
S00095187,98,54,44,0,0
S00095188,85,68,17,0,0
S00095189,115,68,47,0,0
S00095190,115,64,51,0,0
S00095191,144,102,42,0,0
S00095192,95,50,45,0,0
S00095193,93,59,34,0,0
S00095194,62,34,21,7,0
S00095195,112,84,28,0,0
S00095196,95,74,21,0,0
S00095197,150,73,70,7,0
S00095198,103,73,30,0,0
S00095199,74,59,15,0,0
S00095200,84,36,44,0,4
S00095201,129,69,60,0,0
S00095202,137,76,61,0,0
S00095203,90,56,34,0,0
S00095204,108,54,49,5,0
S00095205,102,61,37,0,4
S00095206,73,62,11,0,0
S00095207,109,63,42,4,0
S00095208,68,51,17,0,0
S00095209,136,79,52,5,0
S00095210,69,49,20,0,0
S00095211,93,52,41,0,0
S00095212,95,60,35,0,0
S00095213,88,56,32,0,0
S00095214,136,47,77,12,0
S00095215,111,49,62,0,0
S00095216,113,69,44,0,0
S00095217,142,67,68,7,0
S00095218,96,54,42,0,0
S00095219,150,94,56,0,0
S00095220,54,42,12,0,0
S00095221,76,55,21,0,0
S00095222,98,67,31,0,0
S00095223,87,53,27,7,0
S00095224,100,71,24,0,5
S00095225,82,66,16,0,0
S00095226,116,73,43,0,0
S00095227,66,52,14,0,0
S00095228,79,51,28,0,0
S00095229,79,42,26,6,5
S00095230,71,51,20,0,0
S00095231,69,35,34,0,0
S00095232,50,23,27,0,0
S00095233,115,54,61,0,0
S00095234,115,58,57,0,0
S00095235,139,40,77,22,0
S00095236,109,51,54,4,0
S00095237,98,56,37,5,0
S00095238,105,29,66,10,0
S00095239,94,44,39,11,0
S00095240,66,61,5,0,0
S00095241,127,111,16,0,0
S00095242,89,74,15,0,0
S00095243,114,65,49,0,0
S00095244,156,106,43,7,0
S00095245,146,65,81,0,0
S00095246,133,88,45,0,0
S00095247,122,77,45,0,0
S00095248,158,74,78,6,0
S00095249,87,42,45,0,0
S00095250,63,40,23,0,0
S00095251,101,78,23,0,0
S00095252,83,66,17,0,0
S00095253,108,83,25,0,0
S00095254,116,81,35,0,0
S00095255,111,58,53,0,0
S00095256,65,36,29,0,0
S00095257,108,57,51,0,0
S00095258,95,62,33,0,0
S00095259,208,106,102,0,0
S00095260,106,90,16,0,0
S00095261,62,45,17,0,0
S00095262,109,88,21,0,0
S00095263,143,112,31,0,0
S00095264,98,73,25,0,0
S00095265,67,57,10,0,0
S00095266,101,78,19,4,0
S00095267,67,27,40,0,0
S00095268,99,55,44,0,0
S00095269,64,41,23,0,0
S00095270,125,61,64,0,0
S00095271,88,47,41,0,0
S00095272,86,44,42,0,0
S00095273,109,66,43,0,0
S00095274,120,47,54,19,0
S00095275,152,73,74,5,0
S00095276,146,64,74,8,0
S00095277,120,72,45,3,0
S00095278,118,59,59,0,0
S00095279,112,41,65,6,0
S00095280,71,48,23,0,0
S00095281,120,87,31,0,2
S00095282,135,47,79,7,2
S00095283,124,75,49,0,0
S00095284,102,67,35,0,0
S00095285,71,45,26,0,0
S00095286,121,66,53,0,2
S00095287,91,56,35,0,0
S00095288,118,59,59,0,0
S00095289,139,58,81,0,0
S00095290,77,55,22,0,0
S00095291,124,76,43,5,0
S00095292,131,73,58,0,0
S00095293,65,40,22,3,0
S00095294,52,37,15,0,0
S00095295,107,60,47,0,0
S00095296,95,62,33,0,0
S00095297,53,39,14,0,0
S00095298,76,63,13,0,0
S00095299,110,87,23,0,0
S00095300,82,49,33,0,0
S00095301,154,98,56,0,0
S00095302,140,87,53,0,0
S00095303,74,36,38,0,0
S00095304,70,46,24,0,0
S00095305,127,77,50,0,0
S00095306,86,58,21,7,0
S00095307,113,42,64,7,0
S00095308,120,71,49,0,0
S00095309,123,59,64,0,0
S00095310,90,61,29,0,0
S00095311,110,71,39,0,0
S00095312,127,80,47,0,0
S00095313,127,81,43,3,0
S00095314,130,72,55,3,0
S00095315,104,75,29,0,0
S00095316,141,91,50,0,0
S00095317,112,91,21,0,0
S00095318,94,54,40,0,0
S00095319,56,45,11,0,0
S00095320,94,47,47,0,0
S00095321,97,79,18,0,0
S00095322,86,55,28,0,3
S00095323,104,50,48,6,0
S00095324,116,59,48,7,2
S00095325,106,53,47,6,0
S00095326,111,73,33,0,5
S00095327,95,53,38,0,4
S00095328,80,36,44,0,0
S00095329,106,63,38,5,0
S00095330,140,79,61,0,0
S00095331,154,78,68,8,0
S00095332,98,61,32,5,0
S00095333,100,48,47,5,0
