output_area,All occupied household spaces,One room,Two rooms,Three rooms,Four rooms,Five rooms,Six rooms,Seven rooms,Eight rooms,Nine or more rooms
S00089038,39,1,4,31,3,0,0,0,0,0
S00089039,44,3,9,13,12,6,1,0,0,0
S00089040,39,0,1,4,22,11,1,0,0,0
S00089041,70,0,2,19,20,19,1,5,3,1
S00089042,28,0,0,5,16,4,2,1,0,0
S00089043,59,0,2,4,47,5,0,0,0,1
S00089044,34,0,0,6,16,9,2,0,0,1
S00089045,36,0,1,2,21,12,0,0,0,0
S00089046,43,0,2,2,7,17,11,3,1,0
S00089047,52,0,2,11,10,10,12,6,0,1
S00089048,46,1,2,7,13,11,5,5,2,0
S00089049,53,0,1,3,19,27,2,1,0,0
S00089050,48,0,3,1,24,18,2,0,0,0
S00089051,71,4,11,14,13,19,3,4,1,2
S00089052,70,1,2,5,29,21,8,1,3,0
S00089053,68,2,9,35,6,12,4,0,0,0
S00089054,48,1,9,27,8,1,2,0,0,0
S00089055,57,2,16,26,8,3,2,0,0,0
S00089056,50,1,15,22,8,2,0,0,2,0
S00089057,57,0,13,25,6,9,0,2,1,1
S00089058,70,0,17,42,8,2,1,0,0,0
S00089059,39,0,6,22,7,2,1,0,0,1
S00089060,38,0,11,18,7,1,1,0,0,0
S00089061,41,2,10,18,5,3,1,1,0,1
S00089062,32,0,9,13,3,4,1,0,0,2
S00089063,48,0,8,32,4,3,1,0,0,0
S00089064,55,1,9,28,9,5,2,1,0,0
S00089065,67,1,18,37,10,1,0,0,0,0
S00089066,39,0,8,13,14,2,2,0,0,0
S00089067,52,0,3,23,24,2,0,0,0,0
S00089068,42,0,9,20,8,4,0,1,0,0
S00089069,32,1,4,15,11,1,0,0,0,0
S00089070,71,0,8,33,23,5,1,0,0,1
S00089071,57,1,22,23,9,1,0,0,0,1
S00089072,73,2,27,34,8,0,1,1,0,0
S00089073,63,3,11,32,10,4,1,1,0,1
S00089074,75,3,17,16,24,10,4,1,0,0
S00089075,46,0,13,18,8,7,0,0,0,0
S00089076,75,1,13,28,31,0,0,2,0,0
S00089077,55,5,15,20,11,4,0,0,0,0
S00089078,31,1,2,12,16,0,0,0,0,0
S00089079,25,0,3,2,15,3,1,0,0,1
S00089080,42,0,0,1,35,4,1,1,0,0
S00089081,50,1,0,30,17,1,0,0,0,1
S00089082,44,0,1,14,27,1,0,1,0,0
S00089083,53,0,1,7,25,18,1,1,0,0
S00089084,47,0,3,3,15,20,5,1,0,0
S00089085,54,0,0,3,30,19,2,0,0,0
S00089086,38,0,0,4,10,21,2,1,0,0
S00089087,75,0,4,27,31,3,9,0,0,1
S00089088,45,0,1,14,4,20,5,1,0,0
S00089089,55,0,1,13,15,17,5,2,1,1
S00089090,52,0,0,18,12,17,3,0,1,1
S00089091,49,0,0,7,3,31,7,0,1,0
S00089092,53,0,0,3,10,27,9,1,2,1
S00089093,78,1,6,36,18,12,4,0,1,0
S00089094,40,1,2,12,9,10,6,0,0,0
S00089095,51,0,1,7,35,4,4,0,0,0
S00089096,40,1,1,7,15,11,4,0,0,1
S00089097,47,0,2,3,37,4,1,0,0,0
S00089098,34,0,3,2,26,3,0,0,0,0
S00089099,50,0,6,3,37,2,1,0,1,0
S00089100,45,0,4,3,11,17,5,2,1,2
S00089101,41,0,3,2,34,2,0,0,0,0
S00089102,38,2,2,2,28,0,1,0,1,2
S00089103,52,0,4,26,19,2,1,0,0,0
S00089104,42,0,2,18,15,6,1,0,0,0
S00089105,64,1,3,33,15,8,4,0,0,0
S00089106,51,3,8,17,11,4,5,1,0,2
S00089107,43,0,2,10,18,8,2,0,1,2
S00089108,46,0,1,4,35,3,2,1,0,0
S00089109,32,0,9,7,13,1,0,0,0,2
S00089110,60,0,0,33,7,16,3,0,0,1
S00089111,63,0,2,20,8,31,1,1,0,0
S00089112,91,0,7,39,41,2,0,0,2,0
S00089113,47,1,3,6,36,1,0,0,0,0
S00089114,50,0,3,11,19,13,2,1,1,0
S00089115,72,3,2,31,3,31,2,0,0,0
S00089116,68,0,1,8,10,45,3,1,0,0
S00089117,67,0,3,13,49,2,0,0,0,0
S00089118,61,0,0,1,7,19,13,11,6,4
S00089119,42,0,1,1,1,13,11,4,6,5
S00089120,31,0,0,1,4,3,6,10,5,2
S00089121,66,1,4,30,7,11,5,5,0,3
S00089122,38,0,1,6,23,5,1,2,0,0
S00089123,56,0,2,3,7,38,5,0,1,0
