output_area,All occupied household spaces,One room,Two rooms,Three rooms,Four rooms,Five rooms,Six rooms,Seven rooms,Eight rooms,Nine or more rooms
S00093128,59,0,0,1,27,13,9,7,2,0
S00093129,62,0,0,1,5,19,11,7,6,13
S00093130,57,0,2,1,28,16,5,2,2,1
S00093131,53,0,0,1,13,14,13,8,4,0
S00093132,42,0,1,2,30,7,1,1,0,0
S00093133,48,0,0,1,16,9,8,5,5,4
S00093134,55,0,0,0,13,11,14,8,6,3
S00093135,58,0,0,2,6,31,12,6,1,0
S00093136,45,0,0,1,18,10,8,4,3,1
S00093137,40,0,0,0,7,11,13,8,0,1
S00093138,55,0,0,2,11,20,11,6,4,1
S00093139,51,0,0,3,16,15,6,6,5,0
S00093140,60,0,1,1,13,16,19,7,0,3
S00093141,44,0,2,0,13,12,14,2,1,0
S00093142,62,0,1,2,8,10,7,10,8,16
S00093143,49,0,0,1,10,11,9,11,5,2
S00093144,51,0,1,4,20,14,7,2,2,1
S00093145,58,0,0,0,19,14,11,6,4,4
S00093146,51,0,0,1,0,2,3,10,24,11
S00093147,50,0,0,1,4,20,12,11,2,0
S00093148,42,0,1,6,23,5,3,0,1,3
S00093149,49,0,0,0,2,10,24,4,7,2
S00093150,44,0,0,0,7,13,8,4,7,5
S00093151,63,1,11,20,12,8,4,3,1,3
S00093152,52,0,6,37,8,0,0,1,0,0
S00093153,52,0,0,1,4,7,16,16,4,4
S00093154,54,0,0,0,13,22,13,2,3,1
S00093155,42,0,0,1,2,20,9,4,5,1
S00093156,69,0,0,5,4,9,8,26,11,6
S00093157,58,0,0,11,24,10,6,3,4,0
S00093158,72,0,0,13,36,11,7,3,2,0
S00093159,58,1,12,16,16,11,1,0,0,1
S00093160,60,0,1,25,26,3,3,1,0,1
S00093161,56,0,0,2,9,16,9,11,6,3
S00093162,68,0,0,5,15,12,23,7,5,1
S00093163,58,0,1,24,8,10,7,5,0,3
S00093164,65,1,0,8,19,14,13,8,2,0
S00093165,48,0,0,7,12,8,6,8,6,1
S00093166,70,0,5,8,27,22,7,1,0,0
S00093167,63,0,2,14,15,14,11,2,3,2
S00093168,40,0,2,7,19,7,4,0,1,0
S00093169,43,3,1,13,13,6,6,1,0,0
S00093170,38,0,0,3,31,1,0,1,1,1
S00093171,58,2,3,37,4,6,3,2,0,1
S00093172,57,0,1,5,12,9,7,13,6,4
S00093173,44,0,0,1,12,12,6,7,5,1
S00093174,58,0,1,1,0,21,16,9,3,7
S00093175,33,0,0,0,1,10,4,9,7,2
S00093176,48,0,0,2,9,16,7,8,6,0
S00093177,44,0,5,11,6,11,4,3,0,4
S00093178,60,0,2,0,7,11,15,10,5,10
S00093179,54,0,0,5,10,27,2,5,1,4
S00093180,47,0,0,2,5,10,6,9,10,5
S00093181,57,0,0,0,4,15,20,10,6,2
S00093182,75,0,0,1,9,10,18,16,15,6
S00093183,47,0,0,0,4,14,15,8,2,4
S00093184,65,0,0,1,10,27,10,8,7,2
S00093185,51,0,0,11,16,13,9,0,1,1
S00093186,67,0,0,3,6,26,15,12,4,1
S00093187,57,0,0,1,4,5,15,15,10,7
S00093188,44,0,0,1,18,12,9,0,3,1
S00093189,52,0,0,9,9,9,7,5,8,5
S00093190,74,0,1,6,14,20,14,7,5,7
S00093191,51,0,4,18,9,8,7,4,0,1
S00093192,41,0,0,0,3,3,8,11,7,9
S00093193,56,0,3,1,5,14,19,9,4,1
S00093194,62,0,0,4,10,14,7,10,8,9
S00093195,40,0,0,1,2,2,5,10,7,13
S00093196,59,0,0,0,0,11,12,6,6,24
S00093197,33,0,0,0,3,12,10,5,2,1
S00093198,69,0,0,0,14,18,17,7,7,6
S00093199,70,0,0,2,15,19,16,12,2,4
S00093200,32,0,0,0,6,16,7,1,1,1
S00093201,49,0,0,1,3,6,9,20,6,4
S00093202,47,0,3,0,25,14,5,0,0,0
S00093203,39,0,0,11,15,8,3,1,0,1
S00093204,46,0,0,1,8,15,10,3,6,3
S00093205,45,0,1,0,35,8,1,0,0,0
S00093206,47,0,3,6,23,10,3,2,0,0
S00093207,47,0,3,13,13,8,6,3,1,0
S00093208,45,0,1,2,26,12,2,0,2,0
S00093209,43,0,0,2,5,10,9,11,3,3
S00093210,61,0,1,0,7,18,11,11,8,5
S00093211,40,0,0,2,16,2,9,8,1,2
S00093212,42,0,0,3,20,7,5,2,3,2
S00093213,41,0,1,4,27,6,2,1,0,0
S00093214,49,0,0,2,42,4,1,0,0,0
S00093215,45,0,2,3,23,9,5,2,1,0
S00093216,42,1,0,13,12,13,3,0,0,0
S00093217,36,0,1,14,12,6,2,0,1,0
S00093218,52,0,1,7,17,14,8,3,1,1
S00093219,50,0,1,12,20,7,7,1,0,2
S00093220,48,2,1,14,21,8,0,1,1,0
S00093221,42,1,1,21,10,4,3,0,1,1
S00093222,58,2,2,14,33,4,3,0,0,0
S00093223,54,0,2,0,19,19,9,3,1,1
S00093224,50,0,0,0,4,5,16,12,8,5
S00093225,46,0,0,0,6,11,10,11,4,4
S00093226,50,0,0,1,6,26,14,1,1,1
S00093227,50,0,0,9,16,15,6,3,0,1
S00093228,42,1,0,8,9,13,8,2,1,0
S00093229,72,0,1,11,20,20,13,4,3,0
S00093230,64,2,0,7,15,20,12,4,3,1
S00093231,43,0,0,2,10,23,2,3,2,1
S00093232,45,1,5,13,14,8,2,1,0,1
S00093233,55,0,2,5,18,19,6,4,0,1
S00093234,47,0,0,10,23,9,2,1,1,1
S00093235,43,0,0,4,16,13,7,3,0,0
S00093236,63,0,0,5,5,18,18,12,1,4
S00093237,72,0,1,9,26,18,10,5,2,1
S00093238,44,0,0,6,6,8,10,7,3,4
S00093239,64,0,1,16,21,15,8,2,1,0
S00093240,40,0,0,4,17,8,5,5,1,0
S00093241,52,3,3,22,15,2,3,4,0,0
S00093242,40,0,0,0,26,6,2,1,4,1
S00093243,50,0,1,10,19,7,6,4,2,1
S00093244,69,1,3,21,25,14,5,0,0,0
S00093245,46,0,0,7,25,2,5,5,2,0
S00093246,54,0,0,6,7,9,20,5,5,2
S00093247,60,0,2,8,9,15,13,5,5,3
S00093248,40,0,0,2,16,6,9,3,2,2
S00093249,49,0,1,1,4,18,18,5,2,0
S00093250,52,0,1,3,11,8,8,10,5,6
S00093251,73,0,2,3,16,23,11,9,5,4
S00093252,53,0,2,2,11,26,7,1,4,0
S00093253,48,0,1,8,19,8,9,2,1,0
S00093254,38,0,1,17,11,4,2,0,1,2
S00093255,42,0,1,4,21,9,5,0,1,1
S00093256,53,0,3,7,32,9,2,0,0,0
S00093257,62,0,4,22,13,15,5,3,0,0
S00093258,48,0,1,12,11,10,4,4,2,4
S00093259,57,0,1,21,10,14,5,4,1,1
S00093260,54,0,1,22,15,14,1,1,0,0
S00093261,35,0,1,16,5,9,2,1,1,0
S00093262,61,1,3,17,25,11,2,0,1,1
S00093263,34,0,0,9,11,7,5,1,1,0
S00093264,48,1,5,15,14,10,3,0,0,0
S00093265,69,0,4,27,23,11,1,3,0,0
S00093266,45,0,2,9,13,11,3,3,4,0
S00093267,40,0,3,14,10,5,7,0,0,1
S00093268,53,0,3,9,22,7,6,3,2,1
S00093269,39,0,2,8,8,8,9,3,1,0
S00093270,60,1,4,15,20,9,5,3,3,0
S00093271,37,1,1,15,13,4,0,0,1,2
S00093272,47,0,8,10,15,5,4,3,2,0
S00093273,52,0,3,5,30,7,3,3,0,1
S00093274,68,1,12,23,13,8,1,2,4,4
S00093275,44,0,7,16,11,6,2,2,0,0
S00093276,69,3,9,21,19,10,7,0,0,0
S00093277,44,0,0,28,3,4,3,1,2,3
S00093278,40,0,4,25,5,1,5,0,0,0
S00093279,68,3,10,13,22,5,5,5,4,1
S00093280,48,1,4,27,11,4,0,1,0,0
S00093281,65,0,9,19,25,7,2,1,0,2
S00093282,58,1,3,22,15,9,2,2,1,3
S00093283,71,0,1,29,25,11,2,2,1,0
S00093284,53,0,3,8,20,14,5,2,1,0
S00093285,63,1,6,26,24,5,0,1,0,0
S00093286,56,2,13,14,14,11,0,2,0,0
S00093287,59,1,12,27,4,11,0,1,1,2
S00093288,43,2,2,29,7,2,1,0,0,0
S00093289,39,0,0,1,9,6,10,8,4,1
S00093290,59,0,1,1,11,16,17,10,3,0
S00093291,40,0,0,2,22,6,6,3,1,0
S00093292,38,0,0,4,10,20,2,0,0,2
S00093293,34,0,0,0,9,19,2,2,1,1
S00093294,43,0,3,5,31,2,1,1,0,0
S00093295,46,0,0,1,15,25,2,1,1,1
S00093296,37,0,1,1,17,15,2,1,0,0
S00093297,38,0,0,1,9,20,5,1,0,2
S00093298,75,0,2,4,22,33,10,2,2,0
S00093299,76,0,2,23,22,24,4,0,1,0
S00093300,64,0,0,20,23,14,2,3,0,2
S00093301,44,0,0,1,16,11,7,5,3,1
S00093302,63,0,3,14,29,12,3,1,0,1
S00093303,76,0,1,24,17,19,7,5,2,1
S00093304,32,0,1,6,20,4,0,1,0,0
S00093305,38,0,2,10,13,9,2,2,0,0
S00093306,77,0,4,15,44,10,2,1,1,0
S00093307,36,0,0,0,4,2,10,3,9,8
S00093308,59,1,0,1,5,9,16,14,9,4
S00093309,41,0,1,0,6,4,5,12,6,7
S00093310,58,0,0,0,5,2,22,10,9,10
S00093311,48,0,0,4,8,9,4,5,10,8
S00093312,49,0,0,9,9,6,5,8,8,4
S00093313,67,0,6,33,10,6,5,4,1,2
S00093314,50,0,0,1,3,2,5,7,15,17
S00093315,52,0,0,4,4,6,12,14,5,7
S00093316,49,0,0,0,7,10,7,9,9,7
S00093317,41,0,0,0,1,6,14,11,4,5
S00093318,41,0,2,1,5,15,9,4,5,0
S00093319,44,0,0,0,13,15,10,3,1,2
S00093320,54,0,2,13,12,13,8,3,1,2
S00093321,40,0,1,10,12,11,4,1,1,0
S00093322,56,0,0,0,6,15,17,16,0,2
S00093323,66,0,2,5,31,8,5,5,2,8
S00093324,58,1,2,32,11,4,4,1,1,2
S00093325,52,0,1,24,14,11,2,0,0,0
S00093326,48,0,0,2,25,18,3,0,0,0
S00093327,47,0,0,3,20,21,3,0,0,0
S00093328,59,0,0,3,26,23,4,1,1,1
S00093329,60,0,0,4,35,14,2,1,1,3
S00093330,47,0,0,5,28,9,2,1,1,1
S00093331,45,0,0,1,25,15,3,1,0,0
S00093332,69,0,0,5,10,26,17,5,5,1
S00093333,43,0,0,1,2,7,13,6,7,7
S00093334,99,0,0,2,17,45,19,10,6,0
S00093335,71,0,1,9,50,7,0,3,0,1
S00093336,63,2,2,19,26,11,1,1,0,1
S00093337,40,0,0,4,8,21,6,1,0,0
S00093338,40,0,1,17,11,7,3,1,0,0
S00093339,62,0,1,1,13,35,9,3,0,0
S00093340,49,0,2,28,9,8,1,0,0,1
S00093341,29,0,1,0,15,12,1,0,0,0
S00093342,69,0,0,29,9,22,7,0,0,2
S00093343,38,0,0,16,10,6,3,1,0,2
S00093344,56,0,0,0,5,14,30,2,3,2
S00093345,51,0,0,1,7,24,10,7,2,0
S00093346,41,0,0,0,4,6,14,6,9,2
S00093347,23,0,0,0,3,8,5,4,2,1
S00093348,34,0,0,0,5,6,6,12,5,0
S00093349,62,0,1,6,13,11,6,7,6,12
S00093350,67,0,3,21,15,18,6,2,0,2
S00093351,59,0,2,23,11,15,7,0,0,1
S00093352,37,0,0,12,9,10,3,2,0,1
S00093353,73,0,2,23,23,15,6,4,0,0
S00093354,57,1,0,19,22,9,1,3,1,1
S00093355,75,0,0,13,36,10,4,7,4,1
S00093356,40,0,0,9,12,14,5,0,0,0
S00093357,56,0,2,16,15,13,9,0,1,0
S00093358,55,0,2,14,18,12,6,2,1,0
S00093359,51,0,4,13,12,11,3,3,1,4
S00093360,51,0,3,7,23,9,8,1,0,0
S00093361,55,1,3,27,20,4,0,0,0,0
S00093362,69,1,3,12,29,8,6,5,1,4
S00093363,56,0,4,11,27,9,4,1,0,0
S00093364,35,1,4,11,2,16,1,0,0,0
S00093365,46,0,1,6,18,6,10,3,1,1
S00093366,72,0,1,9,35,24,2,1,0,0
S00093367,32,0,0,4,13,5,8,2,0,0
S00093368,48,1,0,13,11,7,10,4,2,0
S00093369,41,0,1,15,18,4,2,1,0,0
S00093370,65,0,3,4,46,9,3,0,0,0
S00093371,45,0,0,18,5,19,3,0,0,0
S00093372,65,1,1,27,12,18,4,1,0,1
S00093373,32,1,0,12,4,10,3,2,0,0
S00093374,64,0,0,1,4,29,13,10,5,2
S00093375,57,0,1,6,7,25,11,7,0,0
S00093376,77,0,0,10,9,39,15,4,0,0
S00093377,73,0,1,6,15,22,17,6,5,1
S00093378,39,0,0,2,8,18,7,2,1,1
S00093379,35,0,1,0,32,2,0,0,0,0
S00093380,45,0,1,6,13,16,6,1,0,2
S00093381,55,0,1,12,16,21,5,0,0,0
S00093382,47,0,1,2,39,3,1,0,1,0
S00093383,37,1,0,5,20,8,2,1,0,0
S00093384,54,2,0,7,29,13,2,1,0,0
S00093385,68,1,2,29,13,16,5,1,1,0
S00093386,45,0,0,1,16,15,5,6,1,1
S00093387,34,0,0,0,8,5,9,6,3,3
S00093388,63,1,4,11,11,29,5,1,1,0
S00093389,41,0,0,0,5,10,16,7,1,2
S00093390,37,0,0,1,4,12,10,8,1,1
S00093391,70,0,0,1,4,25,28,5,4,3
S00093392,51,0,0,3,13,7,9,8,3,8
S00093393,49,0,2,5,18,17,4,1,1,1
S00093394,45,0,0,8,10,18,8,1,0,0
S00093395,55,0,1,2,18,27,2,3,1,1
S00093396,39,0,1,4,15,11,5,0,2,1
S00093397,65,0,1,3,16,25,16,0,2,2
S00093398,47,0,0,2,14,16,7,2,4,2
S00093399,51,0,2,5,24,14,3,1,1,1
S00093400,43,1,5,16,18,1,2,0,0,0
S00093401,24,0,0,0,5,16,3,0,0,0
S00093402,55,0,0,2,21,26,4,2,0,0
S00093403,67,0,0,4,18,35,9,1,0,0
S00093404,48,0,0,2,2,33,10,1,0,0
S00093405,55,0,0,0,6,36,10,2,1,0
S00093406,40,0,0,2,1,24,10,2,0,1
S00093407,44,1,2,12,24,2,2,0,0,1
S00093408,34,0,0,13,15,4,1,1,0,0
S00093409,56,0,2,15,29,7,2,1,0,0
S00093410,68,0,0,3,22,29,8,5,1,0
S00093411,34,0,0,3,9,15,4,1,0,2
S00093412,47,0,2,15,13,9,6,0,2,0
S00093413,38,1,0,11,7,8,6,5,0,0
S00093414,32,0,0,3,11,14,3,1,0,0
S00093415,49,0,0,3,10,32,2,2,0,0
S00093416,50,0,2,3,29,12,3,0,0,1
S00093417,31,0,1,7,12,10,1,0,0,0
S00093418,21,0,0,0,12,4,5,0,0,0
S00093419,42,0,1,1,24,11,3,0,0,2
S00093420,72,0,0,3,21,29,15,2,1,1
S00093421,59,0,1,7,8,34,4,4,1,0
S00093422,47,0,1,0,13,21,6,3,1,2
S00093423,47,0,0,0,7,35,3,1,0,1
S00093424,43,0,0,1,1,38,3,0,0,0
S00093425,69,0,4,42,9,5,4,3,1,1
S00093426,66,0,0,14,19,9,6,9,4,5
S00093427,77,0,5,16,30,15,4,4,0,3
S00093428,59,0,1,10,23,7,9,6,2,1
S00093429,44,0,1,2,8,25,6,0,1,1
S00093430,59,0,1,6,16,19,6,4,2,5
S00093431,71,0,1,0,5,14,22,10,7,12
S00093432,27,0,0,1,8,2,5,5,2,4
S00093433,68,1,0,2,18,13,9,7,14,4
S00093434,46,0,0,0,10,12,4,7,8,5
S00093435,41,0,0,0,2,7,9,12,7,4
S00093436,58,0,2,2,10,20,18,3,2,1
S00093437,25,0,3,4,3,8,2,3,1,1
S00093438,49,0,0,8,33,6,2,0,0,0
S00093439,73,1,1,16,42,9,2,2,0,0
S00093440,50,0,1,1,30,7,11,0,0,0
S00093441,36,0,1,3,30,2,0,0,0,0
S00093442,58,0,2,7,31,11,4,1,2,0
S00093443,64,0,0,4,38,19,0,0,1,2
S00093444,43,0,1,2,23,10,6,1,0,0
S00093445,63,0,1,0,10,31,12,6,2,1
S00093446,31,0,0,0,3,10,9,5,3,1
S00093447,39,0,0,0,4,7,7,8,5,8
S00093448,29,0,0,1,4,15,5,3,0,1
S00093449,76,0,0,0,11,20,20,13,8,4
S00093450,34,1,0,12,13,5,2,1,0,0
S00093451,47,0,0,1,2,7,9,12,9,7
S00093452,73,0,1,9,40,15,4,2,1,1
S00093453,72,0,2,18,37,7,6,1,0,1
S00093454,61,0,5,3,35,13,5,0,0,0
S00093455,75,2,9,24,20,12,3,3,1,1
S00093456,65,0,2,34,11,14,2,1,1,0
S00093457,39,0,3,19,6,6,1,3,0,1
S00093458,75,0,2,25,23,13,3,6,3,0
S00093459,75,1,0,7,40,13,3,4,2,5
S00093460,73,0,3,22,27,14,2,2,3,0
S00093461,57,0,1,8,32,12,3,0,0,1
S00093462,39,0,0,5,19,13,1,1,0,0
S00093463,47,0,0,5,24,14,2,1,1,0
S00093464,31,0,1,2,14,11,3,0,0,0
S00093465,47,0,0,6,29,7,4,1,0,0
S00093466,74,0,2,8,38,15,7,2,2,0
S00093467,62,0,0,17,26,16,3,0,0,0
S00093468,29,0,0,4,22,2,0,0,0,1
S00093469,62,0,0,8,33,15,2,1,2,1
S00093470,55,0,0,20,18,8,5,2,2,0
S00093471,77,1,0,1,30,39,3,3,0,0
S00093472,36,0,1,8,19,5,1,1,0,1
S00093473,40,1,1,1,22,13,2,0,0,0
S00093474,67,0,1,5,14,31,10,2,4,0
S00093475,59,0,0,1,7,42,9,0,0,0
S00093476,46,0,2,12,12,13,7,0,0,0
S00093477,36,0,1,6,5,9,3,7,1,4
S00093478,37,0,7,11,6,9,2,1,1,0
S00093479,26,0,2,3,5,8,2,3,2,1
S00093480,29,0,0,0,3,11,9,1,2,3
S00093481,49,0,0,13,1,4,4,4,7,16
S00093482,48,1,6,29,3,3,3,0,2,1
S00093483,62,0,2,7,18,20,7,5,2,1
S00093484,44,0,1,3,12,10,8,4,3,3
S00093485,50,0,3,10,9,11,6,4,5,2
S00093486,42,0,1,7,14,11,8,0,0,1
S00093487,47,0,1,14,16,7,5,2,0,2
S00093488,70,2,2,31,33,1,1,0,0,0
S00093489,69,1,4,19,22,14,2,3,3,1
S00093490,49,0,0,3,31,10,4,1,0,0
S00093491,61,0,5,2,7,18,14,10,3,2
S00093492,64,0,3,18,12,14,6,2,6,3
S00093493,72,0,0,18,51,2,0,1,0,0
S00093494,67,0,2,32,12,3,10,2,3,3
S00093495,54,0,1,14,18,17,1,0,2,1
S00093496,39,0,0,7,14,15,1,0,1,1
S00093497,44,0,0,3,32,6,1,0,2,0
S00093498,50,0,1,7,28,9,3,0,1,1
S00093499,76,0,1,10,48,12,5,0,0,0
S00093500,70,0,0,4,34,21,11,0,0,0
S00093501,43,0,4,17,14,4,1,3,0,0
S00093502,52,0,2,3,26,7,5,7,2,0
S00093503,72,0,0,0,3,21,15,14,9,10
S00093504,52,0,0,0,7,21,16,4,3,1
S00093505,58,0,0,0,4,13,11,11,13,6
S00093506,49,0,0,10,9,21,7,1,1,0
S00093507,77,0,3,30,33,5,3,0,0,3
S00093508,44,0,0,0,3,23,5,3,3,7
S00093509,72,0,1,17,18,16,9,6,2,3
S00093510,42,0,2,6,11,10,4,2,5,2
S00093511,46,0,2,9,10,12,8,2,1,2
S00093512,37,1,3,5,13,7,3,3,1,1
S00093513,45,3,7,19,6,5,2,1,2,0
S00093514,33,1,1,11,9,7,2,1,0,1
S00093515,48,0,1,1,29,12,2,2,1,0
S00093516,47,0,3,30,9,2,2,1,0,0
S00093517,45,0,8,9,16,9,2,1,0,0
S00093518,47,0,1,7,28,7,3,0,1,0
S00093519,33,0,3,10,14,4,1,1,0,0
S00093520,60,0,2,10,24,19,5,0,0,0
S00093521,42,0,0,1,4,10,10,4,7,6
S00093522,47,0,3,14,9,10,6,2,1,2
S00093523,54,0,2,14,13,11,2,7,2,3
S00093524,45,0,2,0,13,22,6,2,0,0
S00093525,50,0,5,10,12,6,8,5,0,4
S00093526,48,0,1,1,11,20,7,3,3,2
S00093527,58,0,1,1,23,20,9,1,3,0
S00093528,53,0,1,12,17,11,6,3,0,3
S00093529,60,1,0,1,10,9,10,15,6,8
S00093530,56,0,1,11,11,9,11,9,2,2
S00093531,56,0,1,12,15,11,7,6,1,3
S00093532,48,2,1,14,6,15,6,3,1,0
S00093533,59,0,1,0,9,37,5,5,0,2
S00093534,62,1,2,22,15,11,7,2,1,1
S00093535,49,0,8,13,15,7,3,0,1,2
S00093536,53,0,4,15,20,4,2,5,1,2
S00093537,27,0,1,2,6,12,4,1,1,0
S00093538,62,0,12,5,1,15,8,7,2,12
S00093539,33,0,0,7,7,11,4,1,2,1
S00093540,53,1,2,4,10,3,10,10,6,7
S00093541,58,0,1,8,24,9,7,5,4,0
S00093542,40,5,8,11,2,5,2,4,3,0
S00093543,50,1,0,16,10,9,5,2,4,3
S00093544,50,0,0,5,9,14,10,3,5,4
S00093545,76,1,4,16,14,13,13,6,4,5
S00093546,40,0,0,3,18,12,4,2,1,0
S00093547,70,0,0,0,12,25,15,10,5,3
S00093548,52,0,1,3,23,16,2,2,1,4
S00093549,50,0,0,0,6,14,12,8,7,3
S00093550,51,0,0,0,11,17,12,5,5,1
S00093551,48,0,0,0,6,8,14,7,10,3
S00093552,72,0,1,5,14,12,16,10,10,4
S00093553,58,0,0,2,8,19,15,8,5,1
S00093554,55,0,0,1,14,34,4,2,0,0
S00093555,31,0,0,1,4,9,8,5,4,0
S00093556,51,0,1,1,16,17,9,3,2,2
S00093557,39,0,1,7,14,7,8,1,0,1
S00093558,37,0,0,0,7,18,9,2,1,0
S00093559,50,0,2,10,16,7,10,1,1,3
S00093560,61,0,3,11,19,13,8,4,2,1
S00093561,39,0,2,6,13,8,6,2,1,1
S00093562,76,1,2,5,14,22,9,10,9,4
S00093563,73,0,1,13,43,10,3,0,1,2
S00093564,62,2,0,10,38,6,4,1,0,1
S00093565,54,0,1,0,38,11,2,0,0,2
S00093566,48,0,3,16,18,6,4,0,1,0
S00093567,71,0,1,2,40,16,5,6,1,0
S00093568,45,0,2,3,20,14,4,1,1,0
S00093569,64,1,2,17,17,22,1,1,0,3
S00093570,44,0,0,0,11,23,10,0,0,0
S00093571,42,0,0,1,5,17,11,6,2,0
S00093572,59,0,1,3,35,15,3,1,0,1
S00093573,51,0,1,24,12,8,4,1,0,1
S00093574,44,0,1,5,25,8,0,3,1,1
S00093575,62,0,1,10,32,7,5,5,1,1
S00093576,39,0,0,2,11,13,7,5,1,0
S00093577,48,0,0,4,5,19,9,7,3,1
S00093578,35,0,0,3,12,8,6,4,1,1
S00093579,45,0,5,3,19,10,2,3,1,2
S00093580,72,0,5,9,29,12,7,3,3,4
S00093581,40,0,1,7,17,11,2,1,0,1
S00093582,48,0,0,1,25,17,3,2,0,0
S00093583,36,0,1,15,10,4,3,0,1,2
S00093584,28,1,0,4,5,9,8,0,1,0
S00093585,48,0,8,22,12,2,3,1,0,0
S00093586,61,0,4,13,27,4,4,5,2,2
S00093587,60,0,3,16,25,10,2,2,0,2
S00093588,66,0,1,31,22,7,2,1,2,0
S00093589,40,0,0,5,16,10,5,3,0,1
S00093590,52,0,2,8,35,6,1,0,0,0
S00093591,82,1,6,30,31,10,1,0,0,3
S00093592,48,0,1,6,13,13,4,3,4,4
S00093593,52,0,0,30,18,3,0,1,0,0
S00093594,75,0,3,18,27,12,12,1,1,1
S00093595,74,0,4,19,33,12,2,0,2,2
S00093596,65,0,4,27,20,12,1,1,0,0
S00093597,63,1,0,11,12,12,9,7,6,5
S00093598,66,1,0,24,19,18,1,2,0,1
S00093599,70,0,3,25,34,4,2,1,0,1
S00093600,35,0,1,6,12,11,1,2,1,1
S00093601,44,1,2,14,9,6,4,3,2,3
S00093602,58,0,0,9,21,14,9,1,0,4
S00093603,34,0,1,5,9,9,4,2,1,3
S00093604,42,0,1,4,11,22,2,1,1,0
S00093605,36,0,0,1,1,26,5,1,2,0
S00093606,35,0,0,7,11,6,7,2,2,0
S00093607,57,1,2,5,26,11,9,1,2,0
S00093608,73,0,1,0,7,11,16,20,7,11
S00093609,42,0,0,1,15,16,6,1,3,0
S00093610,49,0,1,8,9,20,7,4,0,0
S00093611,65,0,0,7,19,23,7,4,2,3
S00093612,47,0,2,2,12,6,14,4,3,4
S00093613,62,1,3,7,26,7,6,4,1,7
S00093614,59,1,4,17,15,11,6,3,0,2
S00093615,71,0,12,24,16,9,6,3,1,0
S00093616,61,3,2,19,15,11,4,3,2,2
S00093617,45,2,7,15,11,4,4,0,1,1
S00093618,55,0,9,18,13,12,0,1,0,2
S00093619,33,0,2,1,11,10,6,2,0,1
S00093620,54,0,3,11,12,13,7,5,3,0
S00093621,60,0,2,5,8,18,12,8,4,3
S00093622,41,0,3,19,7,7,4,1,0,0
S00093623,51,0,1,23,16,5,2,2,2,0
S00093624,51,6,14,17,7,3,4,0,0,0
S00093625,46,0,1,9,16,6,10,1,2,1
S00093626,59,0,2,20,23,6,4,1,2,1
S00093627,49,0,0,7,18,23,0,1,0,0
S00093628,38,0,3,8,21,5,0,0,0,1
S00093629,37,1,1,1,11,20,1,1,1,0
S00093630,65,0,2,1,12,10,16,15,5,4
S00093631,44,0,0,8,2,16,9,5,2,2
S00093632,59,0,2,5,9,10,14,10,7,2
S00093633,69,0,2,3,8,18,12,9,6,11
S00093634,60,0,0,3,25,19,6,3,0,4
S00093635,43,0,1,2,11,16,10,1,2,0
S00093636,60,0,2,2,14,15,22,3,2,0
S00093637,62,0,2,28,22,3,1,5,0,1
S00093638,52,0,0,0,2,34,10,2,2,2
S00093639,49,0,0,4,25,10,5,1,2,2
S00093640,47,0,0,1,25,9,7,2,2,1
S00093641,46,0,0,0,24,15,6,0,1,0
S00093642,55,0,0,13,30,5,6,1,0,0
S00093643,31,0,0,1,3,4,12,4,5,2
S00093644,63,0,0,19,25,18,0,0,1,0
S00093645,58,1,0,1,13,7,13,11,9,3
S00093646,33,0,0,10,17,2,3,0,1,0
S00093647,53,0,2,5,22,18,4,0,1,1
S00093648,53,0,0,3,5,9,8,13,10,5
S00093649,67,0,0,0,7,13,16,12,10,9
S00093650,57,0,0,1,4,11,16,12,7,6
S00093651,67,0,1,2,22,23,14,3,0,2
S00093652,45,0,0,0,9,15,13,4,4,0
S00093653,42,1,0,1,23,8,8,0,0,1
S00093654,75,1,5,31,20,15,2,1,0,0
S00093655,62,1,3,7,27,16,5,2,1,0
S00093656,61,1,2,30,10,13,3,0,1,1
S00093657,57,0,1,2,4,14,22,12,2,0
S00093658,57,10,10,23,8,3,2,1,0,0
S00093659,27,0,0,0,4,20,2,0,1,0
S00093660,40,0,1,9,9,16,2,1,1,1
S00093661,45,0,1,5,11,9,15,2,1,1
S00093662,33,0,0,6,10,6,3,6,2,0
S00093663,77,0,1,8,19,13,19,9,6,2
S00093664,50,2,1,13,24,8,1,0,0,1
S00093665,53,0,1,0,18,15,3,7,4,5
S00093666,54,0,0,1,10,10,10,14,7,2
S00093667,42,0,2,23,14,2,0,1,0,0
S00093668,44,0,3,24,14,0,1,0,0,2
S00093669,55,3,3,22,15,9,0,2,1,0
S00093670,66,1,6,16,21,11,3,3,0,5
S00093671,54,0,1,1,13,2,12,19,4,2
S00093672,67,0,2,7,49,3,3,1,2,0
S00093673,76,0,3,11,23,16,9,9,2,3
S00093674,51,0,7,5,13,8,5,6,3,4
S00093675,52,0,1,7,14,21,6,1,0,2
S00093676,58,0,4,13,9,16,9,3,2,2
S00093677,57,0,3,6,15,19,6,4,2,2
S00093678,74,0,1,14,13,14,10,6,1,15
S00093679,50,1,1,36,5,1,4,1,0,1
S00093680,55,0,0,0,1,10,13,12,9,10
S00093681,58,0,1,1,8,15,9,8,6,10
S00093682,40,0,0,1,8,10,7,6,3,5
S00093683,44,0,0,0,4,8,10,5,5,12
S00093684,57,0,0,10,24,11,6,3,2,1
