output_area,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S00089038,39,1,0,0,1,1,34,2,0
S00089039,44,0,6,1,0,9,28,0,0
S00089040,39,1,1,1,34,0,1,1,0
S00089041,70,13,25,3,8,17,2,1,1
S00089042,28,1,1,0,24,0,2,0,0
S00089043,59,2,2,0,54,0,1,0,0
S00089044,34,0,3,0,29,0,2,0,0
S00089045,36,11,7,0,13,1,3,0,1
S00089046,43,22,16,0,0,0,5,0,0
S00089047,52,22,17,0,4,0,8,0,1
S00089048,46,10,17,0,9,6,1,0,3
S00089049,53,14,22,0,12,1,3,0,1
S00089050,48,15,15,0,13,0,3,0,2
S00089051,71,10,17,0,15,0,25,4,0
S00089052,70,22,24,0,16,0,4,3,1
S00089053,68,8,14,0,12,12,22,0,0
S00089054,48,5,16,0,1,0,26,0,0
S00089055,57,4,20,0,10,3,17,2,1
S00089056,50,0,22,0,2,0,22,4,0
S00089057,57,7,8,0,26,1,14,1,0
S00089058,70,7,16,1,7,17,21,0,1
S00089059,39,5,14,0,2,6,11,1,0
S00089060,38,1,8,0,3,10,16,0,0
S00089061,41,7,13,0,2,1,18,0,0
S00089062,32,3,5,0,9,1,13,0,1
S00089063,48,2,12,0,3,1,30,0,0
S00089064,55,8,11,1,8,7,20,0,0
S00089065,67,2,16,0,15,2,32,0,0
S00089066,39,2,12,0,9,0,14,2,0
S00089067,52,7,5,1,6,6,26,1,0
S00089068,42,5,8,0,7,3,16,2,1
S00089069,32,1,5,0,11,2,11,2,0
S00089070,71,3,23,0,10,6,28,1,0
S00089071,57,4,11,0,5,20,13,0,4
S00089072,73,3,22,0,22,1,22,3,0
S00089073,63,11,13,0,6,12,19,1,1
S00089074,75,5,28,0,24,1,15,1,1
S00089075,46,4,8,0,8,0,25,1,0
S00089076,75,11,10,0,47,0,4,1,2
S00089077,55,5,16,0,13,2,16,1,2
S00089078,31,5,5,0,18,1,2,0,0
S00089079,25,7,7,0,6,0,5,0,0
S00089080,42,3,3,0,33,0,3,0,0
S00089081,50,17,8,0,23,0,1,0,1
S00089082,44,3,8,0,25,2,2,0,4
S00089083,53,7,8,0,37,0,1,0,0
S00089084,47,17,14,0,14,1,1,0,0
S00089085,54,8,12,0,33,0,1,0,0
S00089086,38,12,8,0,15,0,3,0,0
S00089087,75,12,12,0,37,12,0,2,0
S00089088,45,9,11,0,8,12,4,1,0
S00089089,55,13,18,0,17,1,4,1,1
S00089090,52,10,6,1,31,2,1,1,0
S00089091,49,2,6,0,38,0,1,2,0
S00089092,53,3,8,1,38,0,3,0,0
S00089093,78,0,6,1,64,0,6,0,1
S00089094,40,0,4,0,33,1,2,0,0
S00089095,51,4,5,0,39,1,2,0,0
S00089096,40,3,8,0,27,1,0,1,0
S00089097,47,0,5,0,40,1,1,0,0
S00089098,34,0,1,0,30,2,1,0,0
S00089099,50,5,8,0,30,0,6,1,0
S00089100,45,19,15,0,8,0,2,0,1
S00089101,41,1,5,0,31,0,4,0,0
S00089102,38,1,5,0,31,0,0,0,1
S00089103,52,8,17,0,4,1,20,2,0
S00089104,42,11,20,0,1,0,6,3,1
S00089105,64,16,29,0,1,2,11,1,4
S00089106,51,15,16,2,5,0,13,0,0
S00089107,43,9,7,0,22,1,4,0,0
S00089108,46,9,9,0,23,2,2,0,1
S00089109,32,3,14,0,4,4,6,0,1
S00089110,60,8,12,0,38,0,2,0,0
S00089111,63,9,11,0,39,0,4,0,0
S00089112,91,2,2,1,80,3,3,0,0
S00089113,47,0,0,0,47,0,0,0,0
S00089114,50,6,6,0,35,2,1,0,0
S00089115,72,10,7,0,47,0,6,2,0
S00089116,68,2,6,2,56,0,2,0,0
S00089117,67,2,8,0,43,13,1,0,0
S00089118,61,34,21,0,1,0,2,1,2
S00089119,42,27,14,0,0,0,0,0,1
S00089120,31,15,15,0,0,0,1,0,0
S00089121,66,12,11,0,23,0,19,0,1
S00089122,38,6,2,0,28,0,0,1,1
S00089123,56,9,20,0,25,1,1,0,0
S00089124,39,10,10,0,16,1,0,1,1
S00089125,64,12,18,0,32,0,2,0,0
S00089126,43,4,10,0,25,1,2,0,1
S00089127,41,6,15,0,17,1,0,1,1
S00089128,39,11,7,0,18,0,1,0,2
S00089129,71,13,49,0,4,0,3,0,2
S00089130,43,8,26,0,8,0,1,0,0
S00089131,40,14,19,0,6,0,1,0,0
S00089132,41,14,23,0,2,0,2,0,0
S00089133,41,19,15,0,6,0,1,0,0
S00089134,61,22,21,1,14,0,0,2,1
S00089135,73,47,23,0,1,0,1,0,1
S00089136,52,27,23,0,0,0,0,0,2
S00089137,46,27,14,0,0,0,2,3,0
S00089138,47,1,0,0,46,0,0,0,0
S00089139,37,8,15,0,8,0,3,2,1
S00089140,45,17,18,0,6,0,3,0,1
S00089141,49,23,16,0,3,0,4,0,3
S00089142,53,17,18,0,14,0,3,1,0
S00089143,41,15,16,0,6,0,2,2,0
S00089144,44,14,19,0,10,0,1,0,0
S00089145,52,17,25,0,8,0,2,0,0
S00089146,43,16,14,0,11,0,0,1,1
S00089147,47,4,11,0,29,0,2,1,0
S00089148,44,3,9,0,27,0,4,1,0
S00089149,40,2,10,0,24,1,2,1,0
S00089150,69,12,13,0,38,0,5,0,1
