output_area,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S00097273,37,13,7,0,0,12,2,0,3
S00097274,44,15,17,0,0,0,12,0,0
S00097275,39,15,0,0,0,1,19,1,3
S00097276,38,18,11,0,0,0,4,2,3
S00097277,61,29,11,0,0,0,10,1,10
S00097278,51,15,10,0,0,1,18,0,7
S00097279,47,11,18,0,0,2,11,2,3
S00097280,45,16,12,0,0,10,5,1,1
S00097281,53,25,14,0,0,3,9,2,0
S00097282,47,12,15,0,0,17,1,0,2
S00097283,33,7,3,1,0,20,2,0,0
S00097284,51,10,8,0,0,3,20,1,9
S00097285,36,11,7,0,0,3,11,0,4
S00097286,28,10,2,0,0,0,12,0,4
S00097287,66,28,16,0,0,2,11,0,9
S00097288,67,18,19,0,0,19,8,2,1
S00097289,48,18,13,1,0,8,4,0,4
S00097290,50,12,14,0,0,4,13,0,7
S00097291,35,10,3,0,0,0,14,2,6
S00097292,32,3,1,0,0,23,1,0,4
S00097293,54,19,13,0,0,1,9,2,10
S00097294,45,22,16,0,0,2,3,0,2
S00097295,37,9,11,0,0,1,12,1,3
S00097296,43,19,14,0,0,3,3,3,1
S00097297,27,7,8,0,0,11,1,0,0
S00097298,57,25,14,1,0,5,4,3,5
S00097299,36,10,7,0,0,1,13,0,5
S00097300,69,27,22,0,0,6,9,2,3
S00097301,33,17,12,0,0,1,1,1,1
S00097302,45,24,13,0,0,4,3,1,0
S00097303,72,34,15,1,0,0,18,0,4
S00097304,42,24,12,0,0,0,3,1,2
S00097305,41,14,9,0,0,9,6,1,2
S00097306,49,20,18,0,0,1,6,1,3
S00097307,66,28,30,0,0,0,3,1,4
S00097308,41,16,14,0,0,4,3,1,3
S00097309,52,20,21,0,0,8,0,1,2
S00097310,64,27,25,0,0,1,3,3,5
S00097311,69,36,12,0,0,2,10,0,9
S00097312,31,24,5,0,0,1,1,0,0
S00097313,37,23,6,0,0,1,4,2,1
S00097314,39,31,4,0,0,1,1,1,1
S00097315,70,54,10,2,0,0,4,0,0
S00097316,30,19,5,1,0,1,3,1,0
S00097317,40,24,6,0,0,2,7,0,1
S00097318,25,17,4,0,0,0,0,0,4
S00097319,31,17,4,1,0,1,5,2,1
S00097320,30,14,11,0,0,0,3,0,2
S00097321,41,17,7,0,0,2,11,1,3
S00097322,33,12,10,1,0,0,7,3,0
S00097323,55,27,9,0,0,1,8,3,7
S00097324,64,42,6,0,0,0,12,0,4
S00097325,46,10,16,0,0,14,3,1,2
S00097326,43,26,7,0,0,1,5,1,3
S00097327,44,21,12,0,0,5,4,0,2
S00097328,56,31,13,1,0,0,5,2,4
S00097329,69,31,21,0,0,0,14,0,3
S00097330,44,20,8,0,0,2,7,1,6
S00097331,65,29,15,0,0,5,7,3,6
S00097332,33,16,5,0,0,0,7,0,5
S00097333,65,32,12,0,0,5,12,3,1
S00097334,50,10,7,0,0,31,1,1,0
S00097335,54,28,7,0,0,1,12,1,5
S00097336,31,7,5,0,0,3,10,2,4
S00097337,39,19,11,0,0,4,4,1,0
S00097338,49,21,12,0,0,1,12,0,3
S00097339,61,2,5,0,0,52,1,1,0
S00097340,72,30,12,0,0,4,20,4,2
S00097341,56,25,17,0,0,4,6,0,4
S00097342,60,23,17,0,0,10,8,2,0
S00097343,47,15,7,0,0,14,9,0,2
S00097344,71,35,13,1,0,2,7,1,12
S00097345,39,20,2,0,0,3,11,1,2
S00097346,70,45,5,0,0,14,2,1,3
S00097347,27,19,4,1,0,0,2,0,1
S00097348,70,33,17,0,0,3,9,2,6
S00097349,47,23,7,0,0,0,14,2,1
S00097350,50,16,15,1,0,0,12,2,4
S00097351,39,19,10,0,0,1,6,1,2
S00097352,57,3,3,3,0,48,0,0,0
S00097353,48,22,13,0,0,1,8,2,2
S00097354,75,44,16,0,0,5,9,1,0
S00097355,25,8,4,0,0,8,3,1,1
S00097356,61,22,9,2,0,24,2,0,2
S00097357,47,26,5,0,0,10,4,0,2
S00097358,28,16,8,0,0,0,3,0,1
S00097359,40,20,9,0,0,1,4,0,6
S00097360,63,30,28,0,0,0,5,0,0
S00097361,26,11,5,0,0,0,8,0,2
S00097362,28,15,5,0,0,0,6,1,1
S00097363,67,35,13,0,0,8,8,0,3
S00097364,71,45,13,0,0,9,3,0,1
S00097365,44,19,18,0,0,3,4,0,0
S00097366,51,23,13,0,0,1,5,1,8
S00097367,72,22,19,0,0,26,2,0,3
S00097368,55,31,13,0,0,0,9,1,1
S00097369,56,10,18,0,0,19,6,3,0
S00097370,24,11,5,0,0,0,5,1,2
S00097371,54,26,16,0,0,0,6,2,4
S00097372,29,12,4,0,0,1,10,0,2
S00097373,34,15,3,0,0,3,8,0,5
S00097374,56,23,10,0,0,0,12,7,4
S00097375,55,37,7,1,0,1,9,0,0
S00097376,44,21,12,1,0,0,8,0,2
S00097377,54,26,17,0,0,1,6,0,4
S00097378,64,33,12,2,0,7,7,0,3
S00097379,64,32,6,0,0,10,13,0,3
S00097380,49,29,9,0,0,3,8,0,0
S00097381,62,29,4,0,0,20,5,1,3
S00097382,54,25,10,0,0,1,14,2,2
S00097383,54,27,4,0,0,7,13,1,2
S00097384,34,15,9,0,0,1,2,4,3
S00097385,42,13,7,0,0,0,15,3,4
S00097386,50,17,18,0,0,5,6,0,4
S00097387,42,27,13,0,0,0,0,0,2
S00097388,57,12,8,0,0,28,3,3,3
S00097389,52,28,13,0,0,1,4,4,2
S00097390,57,27,12,0,0,3,9,4,2
S00097391,41,4,8,0,0,23,6,0,0
S00097392,69,33,16,0,0,0,15,1,4
S00097393,40,19,14,0,0,0,6,0,1
S00097394,27,7,4,0,0,0,13,1,2
S00097395,57,30,11,0,0,1,7,2,6
S00097396,29,16,3,0,0,0,6,4,0
S00097397,50,23,9,0,0,7,9,0,2
S00097398,48,32,9,0,0,0,2,3,2
S00097399,42,29,5,0,0,0,4,1,3
S00097400,63,23,7,3,0,13,11,1,5
S00097401,35,15,2,1,0,11,5,0,1
S00097402,53,35,9,0,0,5,2,1,1
S00097403,41,23,5,1,0,7,3,0,2
S00097404,55,37,2,0,0,1,11,1,3
S00097405,44,7,13,0,0,19,3,0,2
S00097406,41,14,7,0,0,15,3,1,1
S00097407,32,18,5,0,0,2,3,1,3
S00097408,36,14,3,0,0,1,11,0,7
S00097409,36,22,8,0,0,3,2,0,1
S00097410,45,18,4,0,0,16,6,0,1
S00097411,41,23,9,0,0,1,6,0,2
S00097412,37,23,3,0,0,0,7,0,4
S00097413,55,29,4,0,0,5,12,1,4
S00097414,54,33,6,0,0,2,11,0,2
S00097415,54,30,8,0,0,5,7,1,3
S00097416,55,36,8,0,0,1,6,1,3
S00097417,67,36,11,1,0,0,13,4,2
S00097418,73,38,17,0,0,5,9,3,1
S00097419,39,26,4,0,0,4,4,1,0
S00097420,57,36,11,0,0,1,7,0,2
S00097421,50,31,7,0,0,1,8,0,3
S00097422,61,28,14,0,0,4,9,3,3
S00097423,25,8,1,0,0,1,10,2,3
S00097424,60,30,11,0,0,2,15,1,1
S00097425,57,37,8,0,0,0,5,3,4
S00097426,38,13,6,0,0,2,12,1,4
S00097427,38,10,2,0,0,1,22,1,2
S00097428,48,27,12,0,0,0,4,3,2
S00097429,51,10,4,0,0,27,8,1,1
S00097430,31,18,5,0,0,1,7,0,0
S00097431,76,32,17,0,0,17,10,0,0
S00097432,40,20,8,0,0,6,4,0,2
S00097433,54,25,10,0,0,5,8,1,5
S00097434,65,31,11,0,0,0,15,2,6
S00097435,46,18,13,0,0,1,10,1,3
S00097436,59,2,12,3,0,42,0,0,0
S00097437,46,11,5,0,0,2,23,2,3
S00097438,72,24,21,0,0,19,4,2,2
S00097439,56,9,20,0,0,21,3,1,2
S00097440,28,7,9,0,0,1,9,0,2
S00097441,51,25,4,2,0,1,17,0,2
S00097442,59,12,6,0,0,12,18,3,8
S00097443,61,12,21,0,0,23,4,1,0
S00097444,69,39,14,0,0,12,4,0,0
S00097445,25,10,4,0,0,1,6,2,2
S00097446,77,48,8,0,0,8,8,0,5
S00097447,53,25,8,0,0,9,7,2,2
S00097448,56,19,11,0,0,16,8,1,1
S00097449,49,31,4,0,0,1,7,1,5
S00097450,56,34,5,0,0,5,8,1,3
S00097451,52,19,3,1,0,1,24,0,4
S00097452,26,6,2,0,0,0,14,1,3
S00097453,70,20,12,0,0,1,34,0,3
S00097454,48,18,4,0,0,14,10,0,2
S00097455,57,18,6,2,0,23,4,1,3
S00097456,71,32,9,0,0,11,12,3,4
S00097457,40,25,7,0,0,0,3,0,5
S00097458,50,13,10,0,0,0,26,0,1
S00097459,62,13,22,0,0,19,5,3,0
S00097460,76,14,24,0,0,27,7,4,0
S00097461,31,17,5,0,0,0,3,3,3
S00097462,59,33,9,0,0,1,11,0,5
S00097463,30,16,7,0,0,1,3,1,2
S00097464,55,31,14,0,0,8,0,1,1
S00097465,77,31,30,0,0,8,5,1,2
S00097466,65,27,12,0,0,0,11,5,10
S00097467,44,10,13,0,0,19,1,0,1
S00097468,43,23,8,0,0,4,6,2,0
S00097469,51,26,13,0,0,1,7,3,1
S00097470,63,40,14,0,0,0,4,1,4
S00097471,59,35,13,0,0,1,3,0,7
S00097472,37,9,1,1,0,23,0,3,0
S00097473,45,17,2,0,0,16,9,0,1
S00097474,39,9,5,1,0,23,0,0,1
S00097475,37,20,7,0,0,4,5,1,0
S00097476,45,14,8,0,0,8,9,1,5
S00097477,54,17,12,0,0,22,2,0,1
S00097478,46,18,10,0,0,17,1,0,0
S00097479,67,28,5,0,0,30,3,1,0
S00097480,26,8,5,0,0,10,2,1,0
S00097481,53,39,5,0,0,4,2,0,3
S00097482,32,18,7,0,0,2,4,1,0
S00097483,50,32,6,0,0,6,3,1,2
S00097484,30,9,3,0,0,18,0,0,0
S00097485,50,12,9,0,0,26,0,0,3
S00097486,53,30,14,0,0,5,3,0,1
S00097487,51,15,17,0,0,16,2,0,1
S00097488,44,7,12,0,0,18,4,1,2
S00097489,41,23,9,0,0,3,3,2,1
S00097490,75,11,9,0,0,45,8,2,0
S00097491,29,14,7,1,0,1,5,0,1
S00097492,67,34,18,1,0,6,7,1,0
S00097493,51,24,6,0,0,7,11,3,0
S00097494,45,30,12,0,0,0,2,1,0
S00097495,43,25,9,0,0,6,2,0,1
S00097496,49,29,9,0,0,1,9,0,1
S00097497,56,8,7,0,0,33,4,4,0
S00097498,56,26,5,0,0,5,16,3,1
S00097499,53,16,18,0,0,13,5,1,0
S00097500,49,10,15,0,0,20,3,0,1
S00097501,52,9,5,0,0,16,16,5,1
S00097502,66,28,18,0,0,14,4,0,2
S00097503,49,16,8,0,0,23,1,1,0
S00097504,56,35,17,0,0,2,0,1,1
S00097505,49,32,10,0,0,1,5,0,1
S00097506,56,41,14,0,0,0,1,0,0
S00097507,42,28,9,0,0,1,2,0,2
S00097508,56,27,11,0,0,6,10,2,0
S00097509,44,7,6,0,0,4,24,0,3
S00097510,59,18,21,0,0,16,2,1,1
S00097511,66,19,25,0,0,11,9,1,1
S00097512,48,18,13,0,0,12,3,1,1
S00097513,39,27,5,0,0,4,3,0,0
S00097514,40,24,9,1,0,0,6,0,0
S00097515,64,43,14,0,0,2,1,2,2
S00097516,74,15,14,4,0,36,5,0,0
S00097517,42,20,9,0,0,5,6,0,2
S00097518,39,21,10,0,0,3,2,1,2
S00097519,63,16,12,0,0,28,6,0,1
S00097520,44,10,12,0,0,18,2,0,2
S00097521,77,29,10,0,0,13,19,3,3
S00097522,28,8,10,0,0,2,8,0,0
S00097523,32,13,8,0,0,7,3,0,1
S00097524,65,19,17,0,0,26,3,0,0
S00097525,44,22,15,0,0,5,1,1,0
S00097526,71,35,17,1,0,6,9,1,2
S00097527,60,26,11,1,0,15,7,0,0
S00097528,66,18,15,0,0,28,3,2,0
S00097529,66,37,18,0,0,3,6,0,2
S00097530,55,28,13,0,0,8,2,3,1
S00097531,61,9,9,0,0,27,16,0,0
S00097532,54,9,19,0,0,25,1,0,0
S00097533,53,12,16,0,0,20,5,0,0
S00097534,51,17,13,0,0,17,3,1,0
S00097535,71,30,25,0,0,12,3,0,1
S00097536,37,5,2,0,0,27,3,0,0
S00097537,68,6,5,0,0,55,2,0,0
S00097538,62,12,11,0,0,31,8,0,0
S00097539,89,9,4,0,0,67,8,0,1
S00097540,71,7,15,0,0,34,14,1,0
S00097541,28,7,3,0,0,16,1,1,0
S00097542,36,4,0,0,0,30,2,0,0
S00097543,55,1,1,1,0,47,4,0,1
S00097544,43,1,1,1,0,38,2,0,0
S00097545,69,8,11,0,0,31,17,0,2
S00097546,57,7,4,0,0,34,11,0,1
S00097547,43,6,14,0,0,11,10,2,0
S00097548,55,14,16,1,0,4,18,2,0
S00097549,69,22,12,2,0,9,18,3,3
S00097550,50,7,14,0,0,8,18,3,0
S00097551,38,9,8,0,0,1,17,3,0
S00097552,47,9,7,0,0,13,18,0,0
S00097553,45,16,18,0,0,6,3,2,0
S00097554,56,24,17,0,0,1,8,3,3
S00097555,34,19,12,0,0,1,2,0,0
S00097556,61,10,26,1,0,19,2,1,2
S00097557,52,2,3,0,0,46,0,0,1
S00097558,77,24,23,1,0,22,4,2,1
S00097559,43,8,19,0,0,13,1,1,1
S00097560,43,22,13,0,0,3,2,0,3
S00097561,64,10,31,0,0,17,2,2,2
S00097562,74,31,21,0,0,17,3,1,1
S00097563,37,18,9,0,0,4,5,0,1
S00097564,41,14,10,0,0,14,2,0,1
S00097565,35,11,15,1,0,6,1,1,0
S00097566,68,27,17,0,0,16,6,0,2
S00097567,51,11,25,0,0,12,3,0,0
S00097568,70,7,15,0,0,44,4,0,0
S00097569,40,9,13,0,0,13,3,0,2
S00097570,66,27,23,0,0,4,7,1,4
S00097571,65,43,16,0,0,1,3,1,1
S00097572,46,21,9,0,0,10,4,0,2
S00097573,40,5,10,0,0,18,6,1,0
S00097574,46,27,13,0,0,1,3,1,1
S00097575,59,15,23,0,0,13,5,2,1
S00097576,71,25,28,0,0,11,5,1,1
S00097577,46,23,13,0,0,8,2,0,0
S00097578,42,12,10,0,0,9,7,1,3
S00097579,44,16,18,0,0,7,3,0,0
S00097580,65,24,12,0,0,27,0,2,0
S00097581,48,13,14,0,0,18,3,0,0
S00097582,57,27,15,0,0,8,5,1,1
S00097583,74,38,30,0,0,0,5,0,1
S00097584,51,7,12,0,0,26,4,1,1
S00097585,52,18,25,0,0,4,4,0,1
S00097586,58,11,22,0,0,14,9,0,2
S00097587,51,18,26,0,0,1,2,0,4
S00097588,46,11,20,0,0,13,2,0,0
S00097589,48,18,21,0,0,6,1,0,2
S00097590,45,15,5,0,0,17,4,0,4
S00097591,43,22,11,0,0,4,5,1,0
S00097592,49,8,5,0,0,26,8,1,1
S00097593,40,30,7,0,0,0,1,0,2
S00097594,30,21,7,0,0,0,1,1,0
S00097595,44,15,13,0,0,8,4,1,3
S00097596,45,26,7,0,0,9,2,0,1
S00097597,55,41,11,1,0,0,0,0,2
S00097598,44,9,10,0,0,14,9,1,1
S00097599,41,10,8,0,0,23,0,0,0
S00097600,41,30,9,0,0,1,0,0,1
S00097601,62,44,15,0,0,1,2,0,0
S00097602,61,39,13,0,0,2,4,0,3
S00097603,50,32,14,0,0,0,3,0,1
S00097604,67,28,16,0,0,8,9,3,3
S00097605,68,40,14,0,0,6,4,1,3
S00097606,71,31,20,0,0,10,9,0,1
S00097607,57,10,14,0,0,28,1,1,3
S00097608,54,24,15,0,0,9,5,0,1
S00097609,74,18,18,0,0,32,5,0,1
S00097610,56,4,12,0,0,33,4,3,0
S00097611,77,54,20,0,0,0,2,1,0
S00097612,65,10,18,0,0,26,11,0,0
S00097613,54,16,11,1,0,21,3,0,2
S00097614,29,7,17,0,0,2,2,1,0
S00097615,41,12,16,0,0,9,2,1,1
S00097616,57,14,17,0,0,17,4,3,2
S00097617,59,8,8,2,0,33,6,1,1
S00097618,55,13,8,0,0,29,4,1,0
S00097619,78,33,19,0,0,19,5,1,1
S00097620,69,20,18,0,0,26,2,2,1
S00097621,50,1,11,0,0,32,5,1,0
S00097622,51,26,17,0,0,8,0,0,0
S00097623,48,21,18,0,0,6,3,0,0
S00097624,61,21,16,0,0,14,8,0,2
S00097625,55,10,14,0,0,25,6,0,0
S00097626,46,29,11,0,0,0,5,1,0
S00097627,47,23,16,1,0,2,3,0,2
S00097628,43,16,12,0,0,4,6,2,3
S00097629,29,10,7,0,0,9,2,1,0
S00097630,62,24,19,1,0,8,7,0,3
S00097631,63,20,17,0,0,17,6,1,2
S00097632,62,22,17,0,0,6,13,3,1
S00097633,60,19,16,0,0,17,6,2,0
S00097634,71,35,29,0,0,0,5,1,1
S00097635,35,16,11,0,0,1,4,2,1
S00097636,75,31,23,0,0,9,5,2,5
S00097637,73,51,18,0,0,1,3,0,0
S00097638,43,31,6,0,0,0,6,0,0
S00097639,39,31,3,0,0,0,5,0,0
S00097640,56,31,18,0,0,0,5,1,1
S00097641,73,18,12,0,0,30,10,3,0
S00097642,73,18,12,0,0,25,14,2,2
S00097643,76,40,17,0,0,8,5,2,4
S00097644,76,47,16,0,0,0,11,0,2
S00097645,67,31,17,0,0,3,14,1,1
S00097646,55,41,7,0,0,1,3,0,3
S00097647,71,32,11,0,0,1,20,4,3
S00097648,34,17,11,0,0,0,5,1,0
S00097649,43,16,6,1,0,8,8,4,0
S00097650,36,4,0,0,0,26,5,0,1
S00097651,37,13,7,0,0,7,7,3,0
S00097652,42,10,7,0,0,21,4,0,0
S00097653,39,25,10,0,0,2,2,0,0
S00097654,41,1,6,0,0,33,0,0,1
S00097655,45,14,9,0,0,13,7,0,2
S00097656,59,32,16,0,0,6,2,1,2
S00097657,68,12,17,2,0,30,1,6,0
S00097658,55,17,17,0,0,17,3,1,0
S00097659,54,38,12,0,0,0,3,1,0
S00097660,45,31,12,0,0,0,2,0,0
S00097661,54,23,19,0,0,0,9,2,1
S00097662,44,16,5,0,0,23,0,0,0
S00097663,67,20,12,0,0,17,17,1,0
S00097664,44,16,9,0,0,12,4,1,2
S00097665,43,14,13,0,0,9,4,1,2
S00097666,50,22,13,0,0,7,4,1,3
S00097667,47,14,11,0,0,17,2,0,3
S00097668,45,22,14,0,0,5,3,0,1
S00097669,44,2,0,0,0,41,1,0,0
S00097670,59,14,23,0,0,19,2,1,0
S00097671,45,24,14,0,0,2,3,1,1
S00097672,41,13,15,0,0,10,1,1,1
S00097673,55,1,5,1,0,40,7,1,0
S00097674,54,20,17,0,0,3,11,1,2
S00097675,39,22,8,0,0,7,1,1,0
S00097676,56,27,14,0,0,8,6,1,0
S00097677,46,16,13,0,0,3,14,0,0
S00097678,56,17,10,0,0,2,22,4,1
S00097679,56,20,14,0,0,13,8,0,1
S00097680,51,29,16,0,0,3,1,1,1
S00097681,36,8,8,0,0,5,13,2,0
S00097682,66,17,17,0,0,27,4,1,0
S00097683,33,14,6,0,0,11,1,1,0
S00097684,67,31,9,0,0,18,5,2,2
S00097685,40,11,13,0,0,11,2,1,2
S00097686,58,13,23,0,0,19,1,2,0
S00097687,45,7,20,0,0,15,2,1,0
S00097688,39,17,10,0,0,4,5,2,1
S00097689,53,21,5,1,0,16,10,0,0
S00097690,47,6,22,0,0,16,3,0,0
S00097691,50,10,8,0,0,25,5,1,1
S00097692,37,9,6,0,0,14,4,2,2
S00097693,50,32,11,0,0,0,4,1,2
S00097694,78,15,11,0,0,44,6,1,1
S00097695,59,31,24,0,0,1,3,0,0
S00097696,65,17,9,0,0,16,17,2,4
S00097697,49,7,10,0,0,29,2,1,0
S00097698,45,8,3,0,0,27,7,0,0
S00097699,50,24,10,0,0,7,6,0,3
S00097700,44,20,16,0,0,5,3,0,0
S00097701,43,23,16,0,0,3,0,0,1
S00097702,54,18,15,0,0,13,5,1,2
S00097703,47,14,11,0,0,9,11,1,1
S00097704,47,11,14,0,0,16,4,1,1
S00097705,58,17,12,0,0,24,4,1,0
S00097706,43,14,11,1,0,11,2,0,4
S00097707,47,7,1,0,0,33,6,0,0
S00097708,43,11,9,0,0,15,6,1,1
S00097709,49,33,7,0,0,3,5,0,1
S00097710,42,13,13,0,0,5,10,0,1
S00097711,61,17,19,0,0,13,10,0,2
S00097712,77,13,45,0,0,12,5,1,1
S00097713,55,19,23,0,0,7,5,1,0
S00097714,52,28,14,1,0,2,2,2,3
S00097715,40,17,20,0,0,2,1,0,0
S00097716,40,18,16,0,0,2,2,0,2
S00097717,65,12,19,0,0,27,6,0,1
S00097718,70,13,23,1,0,32,1,0,0
S00097719,60,12,7,0,0,36,4,1,0
S00097720,50,12,14,0,0,22,2,0,0
S00097721,42,15,17,0,0,3,6,0,1
S00097722,44,13,15,0,0,12,4,0,0
S00097723,40,13,15,0,0,9,2,1,0
S00097724,45,17,18,0,0,6,2,2,0
S00097725,51,17,13,0,0,16,3,0,2
S00097726,41,14,15,0,0,9,1,0,2
S00097727,40,12,15,0,0,11,1,1,0
S00097728,58,21,20,0,0,12,3,2,0
S00097729,66,16,16,0,0,27,2,3,2
S00097730,61,42,14,0,0,1,2,0,2
S00097731,63,12,19,0,0,29,1,1,1
S00097732,68,11,21,0,0,31,5,0,0
S00097733,52,4,16,1,0,28,3,0,0
S00097734,56,9,3,0,0,19,25,0,0
S00097735,45,4,8,0,0,29,4,0,0
S00097736,58,8,13,0,0,32,5,0,0
S00097737,54,18,23,0,0,10,3,0,0
S00097738,47,24,14,0,0,6,0,1,2
S00097739,52,11,15,0,0,15,9,1,1
S00097740,30,10,4,1,0,9,5,0,1
S00097741,39,7,13,0,0,13,4,1,1
S00097742,37,6,7,0,0,0,18,3,3
S00097743,68,41,11,0,0,4,8,2,2
S00097744,60,41,15,0,0,1,0,1,2
S00097745,35,18,17,0,0,0,0,0,0
S00097746,44,26,15,0,0,0,3,0,0
S00097747,38,22,13,0,0,0,3,0,0
S00097748,41,18,17,0,0,2,3,0,1
S00097749,61,14,11,1,0,31,4,0,0
S00097750,36,4,10,0,0,21,0,1,0
S00097751,57,8,10,0,0,32,6,1,0
S00097752,35,2,5,0,0,23,3,2,0
S00097753,65,10,7,0,0,40,7,1,0
S00097754,65,30,27,0,0,1,3,3,1
S00097755,34,20,12,1,0,0,1,0,0
S00097756,68,9,13,0,0,41,3,0,2
S00097757,67,34,28,1,0,1,2,1,0
S00097758,56,20,29,0,0,0,6,1,0
S00097759,66,27,25,0,0,2,9,2,1
S00097760,44,16,16,0,0,12,0,0,0
S00097761,77,34,25,0,0,8,8,2,0
S00097762,48,17,24,0,0,1,5,1,0
S00097763,40,15,13,0,0,10,1,1,0
S00097764,50,12,11,0,0,21,2,1,3
S00097765,41,7,5,0,0,26,3,0,0
S00097766,52,15,20,0,0,14,3,0,0
S00097767,73,20,30,0,0,12,10,0,1
S00097768,51,12,17,0,0,17,4,0,1
S00097769,69,30,17,2,0,16,2,0,2
S00097770,70,32,29,0,0,2,4,1,2
S00097771,42,6,12,3,0,20,1,0,0
S00097772,48,9,8,0,0,22,7,2,0
S00097773,64,23,15,0,0,19,6,1,0
S00097774,56,17,12,0,0,21,3,2,1
S00097775,60,32,9,0,0,11,4,0,4
S00097776,50,26,8,0,0,14,1,0,1
S00097777,45,19,18,0,0,2,5,1,0
S00097778,41,10,15,0,0,13,3,0,0
S00097779,29,15,11,0,0,0,2,0,1
S00097780,65,22,34,0,0,3,3,1,2
S00097781,76,40,33,0,0,0,3,0,0
S00097782,72,39,25,0,0,0,4,1,3
S00097783,57,25,27,0,0,1,3,1,0
S00097784,49,22,24,0,0,0,1,0,2
S00097785,37,23,9,0,0,0,1,1,3
S00097786,58,13,8,0,0,26,8,1,2
S00097787,61,8,11,1,0,12,25,3,1
S00097788,62,12,18,0,0,2,26,4,0
S00097789,40,18,16,0,0,0,4,1,1
S00097790,39,18,17,0,0,1,2,1,0
S00097791,40,16,18,0,0,2,4,0,0
S00097792,29,23,6,0,0,0,0,0,0
S00097793,70,41,20,0,0,1,5,3,0
S00097794,41,16,13,0,0,1,10,0,1
S00097795,45,30,12,0,0,1,0,1,1
S00097796,74,42,25,0,0,1,5,0,1
S00097797,68,28,34,0,0,1,5,0,0
S00097798,67,31,33,0,0,1,2,0,0
S00097799,40,14,16,0,0,1,8,1,0
S00097800,52,7,10,1,0,10,19,4,1
S00097801,51,13,9,1,0,17,8,2,1
S00097802,48,10,12,0,0,17,6,2,1
S00097803,72,9,11,0,0,39,11,2,0
S00097804,57,5,7,0,0,34,9,1,1
S00097805,53,11,12,0,0,25,3,1,1
S00097806,34,3,2,1,0,21,6,1,0
S00097807,61,7,6,12,0,22,13,0,1
S00097808,49,44,0,0,0,0,4,0,1
S00097809,61,10,8,0,0,12,30,0,1
S00097810,70,18,16,0,0,15,18,2,1
S00097811,62,12,11,0,0,14,25,0,0
S00097812,76,8,12,0,0,33,23,0,0
S00097813,76,7,10,0,0,29,28,2,0
S00097814,44,2,5,0,0,4,31,1,1
S00097815,52,32,16,0,0,1,2,0,1
S00097816,40,11,13,8,0,1,6,1,0
S00097817,53,20,22,0,0,5,6,0,0
S00097818,41,10,21,0,0,2,3,3,2
S00097819,47,34,12,0,0,0,1,0,0
S00097820,57,24,20,0,0,0,10,2,1
S00097821,38,27,10,0,0,0,1,0,0
S00097822,54,24,20,0,0,0,7,2,1
S00097823,73,44,15,0,0,3,10,1,0
S00097824,48,31,15,0,0,1,1,0,0
S00097825,65,14,19,0,0,22,7,0,3
S00097826,44,14,12,0,0,7,10,0,1
S00097827,51,17,17,0,0,6,9,2,0
S00097828,67,19,29,0,0,5,13,0,1
S00097829,76,12,23,1,0,3,37,0,0
S00097830,42,17,13,0,0,3,9,0,0
S00097831,59,19,34,0,0,1,4,0,1
S00097832,58,17,23,0,0,11,5,2,0
S00097833,62,19,27,0,0,10,6,0,0
S00097834,42,8,16,0,0,15,3,0,0
S00097835,51,12,27,0,0,0,10,1,1
S00097836,55,24,28,0,0,0,3,0,0
S00097837,48,15,30,0,0,0,3,0,0
S00097838,55,18,31,0,0,0,5,1,0
S00097839,48,20,20,0,0,1,5,1,1
S00097840,43,21,20,0,0,2,0,0,0
S00097841,60,27,12,0,0,0,1,0,20
S00097842,26,13,11,0,0,1,1,0,0
S00097843,49,9,21,0,0,12,7,0,0
S00097844,53,16,16,0,0,17,4,0,0
S00097845,38,15,17,0,0,3,0,1,2
S00097846,52,16,12,0,0,19,5,0,0
S00097847,56,28,21,0,0,0,3,1,3
S00097848,47,14,30,0,0,0,3,0,0
S00097849,39,25,12,0,0,0,2,0,0
S00097850,78,15,17,0,0,27,12,3,4
S00097851,69,13,14,2,0,29,10,1,0
S00097852,45,28,12,0,0,0,2,0,3
S00097853,48,31,14,0,0,0,2,0,1
S00097854,44,19,22,0,0,0,3,0,0
S00097855,65,27,33,0,0,1,2,1,1
S00097856,56,20,31,0,0,2,3,0,0
S00097857,57,29,20,0,0,0,6,2,0
S00097858,49,31,16,0,0,1,1,0,0
S00097859,59,36,22,0,0,0,0,0,1
S00097860,53,36,13,0,0,1,3,0,0
S00097861,61,18,26,0,0,2,12,3,0
S00097862,70,15,36,1,0,5,11,1,1
S00097863,56,30,21,0,0,1,4,0,0
S00097864,48,21,23,0,0,0,3,1,0
S00097865,61,35,22,1,0,0,2,0,1
S00097866,63,20,35,0,0,1,7,0,0
S00097867,67,6,17,13,0,14,16,1,0
S00097868,60,15,35,0,0,1,6,3,0
S00097869,40,20,17,0,0,0,2,0,1
S00097870,57,35,19,0,0,0,1,1,1
S00097871,39,16,16,0,0,0,4,2,1
S00097872,75,36,32,1,0,2,4,0,0
S00097873,39,15,17,1,0,1,4,0,1
S00097874,58,38,19,0,0,0,1,0,0
S00097875,61,26,31,0,0,0,4,0,0
S00097876,67,31,32,0,0,1,2,1,0
