output_area,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S00089095,51,18,14,7,9,2,1,0,0
S00089096,40,11,8,16,4,0,1,0,0
S00089097,47,22,16,8,0,1,0,0,0
S00089098,34,11,7,9,5,2,0,0,0
S00089099,50,11,19,12,5,3,0,0,0
S00089100,45,15,14,10,3,2,1,0,0
S00089101,41,22,11,2,5,1,0,0,0
S00089102,38,12,10,11,4,1,0,0,0
S00089103,52,26,19,5,0,2,0,0,0
S00089104,42,25,11,4,2,0,0,0,0
S00089105,64,41,17,3,3,0,0,0,0
S00089106,51,27,17,3,2,1,1,0,0
S00089107,43,18,15,6,4,0,0,0,0
S00089108,46,14,21,8,3,0,0,0,0
S00089109,32,18,6,4,2,2,0,0,0
S00089110,60,30,19,6,2,3,0,0,0
S00089111,63,18,19,16,7,3,0,0,0
S00089112,91,56,18,10,6,1,0,0,0
S00089113,47,31,15,1,0,0,0,0,0
S00089114,50,15,12,15,7,1,0,0,0
S00089115,72,29,22,7,10,4,0,0,0
S00089116,68,14,13,16,12,9,3,1,0
S00089117,67,33,16,13,4,1,0,0,0
S00089118,61,15,28,4,8,6,0,0,0
S00089119,42,13,19,6,3,0,1,0,0
S00089120,31,6,14,6,3,1,1,0,0
S00089121,66,36,17,9,2,2,0,0,0
S00089122,38,18,13,7,0,0,0,0,0
S00089123,56,14,14,14,8,1,5,0,0
S00089124,39,9,13,9,5,0,0,1,2
S00089125,64,17,15,16,12,3,1,0,0
S00089126,43,7,17,9,3,6,1,0,0
S00089127,41,13,16,2,8,2,0,0,0
S00089128,39,13,10,5,7,3,1,0,0
S00089129,71,12,24,11,16,8,0,0,0
S00089130,43,12,14,15,2,0,0,0,0
S00089131,40,10,12,7,8,3,0,0,0
S00089132,41,12,18,6,4,1,0,0,0
S00089133,41,13,18,2,8,0,0,0,0
S00089134,61,18,27,8,7,1,0,0,0
S00089135,73,27,31,7,6,2,0,0,0
S00089136,52,13,25,7,7,0,0,0,0
S00089137,46,11,21,9,4,0,1,0,0
S00089138,47,39,8,0,0,0,0,0,0
S00089139,37,11,15,3,5,2,1,0,0
S00089140,45,15,13,11,4,2,0,0,0
S00089141,49,10,19,12,4,4,0,0,0
S00089142,53,9,19,13,9,3,0,0,0
S00089143,41,9,19,4,5,4,0,0,0
S00089144,44,14,15,13,2,0,0,0,0
S00089145,52,14,16,11,10,1,0,0,0
S00089146,43,14,11,7,6,2,1,0,2
S00089147,47,11,26,7,3,0,0,0,0
S00089148,44,9,16,8,6,2,0,1,2
S00089149,40,7,9,8,8,5,3,0,0
S00089150,69,22,24,13,8,2,0,0,0
S00089151,37,23,10,1,1,1,1,0,0
S00089152,42,31,10,1,0,0,0,0,0
S00089153,40,23,14,1,1,1,0,0,0
S00089154,37,18,9,9,1,0,0,0,0
S00089155,39,7,23,5,4,0,0,0,0
S00089156,49,12,24,9,2,2,0,0,0
S00089157,48,17,15,9,5,1,1,0,0
S00089158,55,18,13,9,11,3,1,0,0
S00089159,43,16,16,6,3,0,2,0,0
S00089160,50,19,17,4,3,7,0,0,0
S00089161,43,11,19,7,5,1,0,0,0
S00089162,34,8,13,9,4,0,0,0,0
S00089163,51,16,20,6,6,1,2,0,0
S00089164,39,15,15,4,4,1,0,0,0
S00089165,49,17,18,6,7,0,1,0,0
S00089166,71,29,15,18,8,1,0,0,0
