output_area,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S00101977,62,16,21,14,10,1,0,0,0
S00101978,44,9,18,11,6,0,0,0,0
S00101979,49,11,15,10,9,4,0,0,0
S00101980,56,13,21,16,3,3,0,0,0
S00101981,76,19,36,11,7,2,1,0,0
S00101982,55,17,25,6,6,1,0,0,0
S00101983,76,20,27,14,12,3,0,0,0
S00101984,60,19,20,13,6,2,0,0,0
S00101985,62,21,21,12,7,0,1,0,0
S00101986,69,27,23,6,12,1,0,0,0
S00101987,73,21,32,10,8,2,0,0,0
S00101988,51,15,19,6,6,3,1,1,0
S00101989,46,15,19,3,8,0,1,0,0
S00101990,77,22,41,7,7,0,0,0,0
S00101991,47,8,30,1,4,2,2,0,0
S00101992,40,13,17,4,6,0,0,0,0
S00101993,59,22,16,10,9,1,1,0,0
S00101994,56,17,16,11,7,4,1,0,0
S00101995,64,11,33,10,9,1,0,0,0
S00101996,42,12,18,7,3,2,0,0,0
S00101997,64,14,21,13,12,2,2,0,0
S00101998,66,15,28,11,10,2,0,0,0
S00101999,58,18,23,9,8,0,0,0,0
S00102000,69,31,14,15,6,2,1,0,0
S00102001,51,12,21,10,6,2,0,0,0
S00102002,46,15,20,7,4,0,0,0,0
S00102003,48,20,23,3,1,0,0,1,0
S00102004,54,14,28,4,5,3,0,0,0
S00102005,45,15,23,2,2,3,0,0,0
S00102006,75,33,25,12,5,0,0,0,0
S00102007,67,17,28,11,9,2,0,0,0
S00102008,50,4,18,15,9,3,1,0,0
S00102009,55,8,22,12,7,3,1,2,0
S00102010,75,31,29,8,3,3,0,1,0
S00102011,55,17,21,9,6,1,1,0,0
S00102012,73,28,28,7,4,2,3,1,0
S00102013,58,19,24,9,5,0,1,0,0
S00102014,26,9,7,3,7,0,0,0,0
S00102015,59,7,24,8,8,11,0,1,0
S00102016,54,13,13,7,8,8,5,0,0
S00102017,59,10,18,14,9,6,0,2,0
S00102018,51,13,11,11,9,5,2,0,0
S00102019,77,26,33,10,6,2,0,0,0
S00102020,56,13,11,11,9,9,2,1,0
S00102021,40,16,12,6,4,2,0,0,0
S00102022,41,14,17,4,5,1,0,0,0
S00102023,50,8,17,10,8,6,0,1,0
S00102024,49,13,15,13,7,1,0,0,0
S00102025,64,20,23,10,9,2,0,0,0
S00102026,74,4,10,22,25,8,2,2,1
S00102027,54,15,12,12,7,7,1,0,0
S00102028,39,8,17,8,6,0,0,0,0
S00102029,49,17,20,8,4,0,0,0,0
S00102030,49,15,24,6,3,1,0,0,0
S00102031,43,13,18,9,2,1,0,0,0
S00102032,44,8,23,8,4,1,0,0,0
S00102033,71,17,31,10,8,4,1,0,0
S00102034,57,16,21,8,9,3,0,0,0
S00102035,49,27,12,6,2,0,2,0,0
S00102036,51,19,19,9,2,2,0,0,0
S00102037,46,30,13,1,2,0,0,0,0
S00102038,42,13,19,8,1,1,0,0,0
S00102039,55,12,19,9,10,3,2,0,0
S00102040,40,7,17,7,6,2,1,0,0
S00102041,39,12,15,6,4,2,0,0,0
S00102042,53,24,13,7,6,1,1,1,0
S00102043,35,15,11,4,3,1,1,0,0
S00102044,52,16,16,8,6,6,0,0,0
S00102045,33,6,11,7,7,1,1,0,0
S00102046,44,7,13,14,7,2,1,0,0
S00102047,61,17,19,13,11,1,0,0,0
S00102048,66,34,17,5,6,3,1,0,0
S00102049,45,22,15,5,1,2,0,0,0
S00102050,39,13,13,6,5,2,0,0,0
S00102051,51,14,20,9,5,3,0,0,0
S00102052,48,11,15,10,10,2,0,0,0
S00102053,48,8,17,11,10,2,0,0,0
S00102054,75,20,27,15,10,3,0,0,0
S00102055,47,6,20,9,9,2,1,0,0
S00102056,45,8,16,13,5,2,1,0,0
S00102057,57,17,22,10,6,2,0,0,0
S00102058,47,12,18,10,5,1,1,0,0
S00102059,77,37,22,11,7,0,0,0,0
S00102060,66,20,37,6,2,1,0,0,0
S00102061,59,17,23,13,5,1,0,0,0
S00102062,52,17,19,8,6,1,1,0,0
S00102063,49,14,14,11,8,2,0,0,0
S00102064,63,33,19,7,3,0,1,0,0
S00102065,46,10,19,7,7,2,1,0,0
S00102066,56,19,18,8,9,2,0,0,0
S00102067,50,11,21,9,7,2,0,0,0
S00102068,48,15,16,6,10,0,1,0,0
S00102069,57,12,20,15,8,0,2,0,0
S00102070,41,13,16,9,3,0,0,0,0
S00102071,76,21,29,11,13,2,0,0,0
S00102072,43,12,15,11,3,2,0,0,0
S00102073,51,32,13,1,3,2,0,0,0
S00102074,41,13,17,4,5,2,0,0,0
S00102075,61,27,20,8,5,0,1,0,0
S00102076,62,23,22,9,5,0,3,0,0
S00102077,40,21,12,6,1,0,0,0,0
S00102078,56,22,23,1,9,0,1,0,0
S00102079,43,18,20,2,2,0,0,0,1
S00102080,38,5,9,12,4,6,1,1,0
S00102081,67,12,26,16,10,1,2,0,0
S00102082,52,13,28,7,1,0,3,0,0
S00102083,58,8,26,12,9,3,0,0,0
S00102084,51,9,16,12,9,4,0,1,0
S00102085,66,11,22,15,12,5,1,0,0
S00102086,56,11,20,14,8,2,1,0,0
S00102087,53,18,25,7,1,2,0,0,0
S00102088,54,19,17,9,7,0,2,0,0
S00102089,43,10,19,7,6,1,0,0,0
S00102090,53,14,15,12,8,4,0,0,0
S00102091,41,9,18,2,9,2,1,0,0
S00102092,45,7,11,14,9,3,1,0,0
S00102093,41,7,18,7,5,2,2,0,0
S00102094,43,11,9,12,7,2,2,0,0
S00102095,65,31,24,8,1,1,0,0,0
S00102096,61,24,20,6,4,6,1,0,0
S00102097,43,13,20,7,2,1,0,0,0
S00102098,46,18,19,2,6,0,1,0,0
S00102099,75,38,28,7,2,0,0,0,0
S00102100,56,37,12,4,2,0,1,0,0
S00102101,56,46,8,2,0,0,0,0,0
S00102102,40,20,14,3,1,2,0,0,0
S00102103,47,13,15,8,10,0,1,0,0
S00102104,48,22,16,6,4,0,0,0,0
S00102105,53,24,17,6,6,0,0,0,0
S00102106,40,18,17,5,0,0,0,0,0
S00102107,42,10,12,12,5,3,0,0,0
S00102108,50,12,17,12,8,1,0,0,0
S00102109,46,10,21,6,6,2,1,0,0
S00102110,41,5,16,13,7,0,0,0,0
S00102111,40,14,12,6,7,1,0,0,0
S00102112,57,10,21,10,10,5,1,0,0
S00102113,40,13,14,6,4,2,1,0,0
S00102114,48,15,16,6,7,3,1,0,0
S00102115,65,27,17,11,4,3,1,1,1
S00102116,45,14,19,7,4,0,1,0,0
S00102117,51,25,17,5,3,0,1,0,0
S00102118,53,6,18,10,13,4,2,0,0
S00102119,43,4,13,12,8,4,2,0,0
S00102120,47,13,15,14,3,2,0,0,0
S00102121,45,5,15,13,10,2,0,0,0
S00102122,53,10,23,12,5,1,0,1,1
S00102123,46,12,12,15,6,1,0,0,0
S00102124,78,9,38,17,12,1,1,0,0
S00102125,69,41,19,7,1,1,0,0,0
S00102126,26,1,11,9,5,0,0,0,0
S00102127,42,14,12,5,7,2,1,0,1
S00102128,47,19,18,3,4,1,2,0,0
S00102129,45,14,19,9,1,2,0,0,0
S00102130,44,17,18,4,3,2,0,0,0
S00102131,69,37,22,6,2,1,1,0,0
S00102132,42,6,16,7,6,4,2,0,1
S00102133,51,10,21,5,13,2,0,0,0
S00102134,50,15,21,6,5,2,0,0,1
S00102135,66,39,15,7,4,0,0,1,0
S00102136,40,13,20,2,5,0,0,0,0
S00102137,47,13,20,9,2,2,1,0,0
S00102138,55,21,23,7,4,0,0,0,0
S00102139,39,10,11,5,10,3,0,0,0
S00102140,65,23,26,8,3,5,0,0,0
S00102141,47,19,10,13,3,1,0,1,0
S00102142,50,13,19,7,8,2,1,0,0
S00102143,48,26,16,4,2,0,0,0,0
S00102144,61,21,22,8,8,1,1,0,0
S00102145,43,10,17,10,3,3,0,0,0
S00102146,49,10,22,9,6,2,0,0,0
S00102147,47,19,17,4,5,2,0,0,0
S00102148,57,21,21,5,9,1,0,0,0
S00102149,44,11,12,8,11,0,2,0,0
S00102150,43,11,17,6,9,0,0,0,0
S00102151,55,46,9,0,0,0,0,0,0
S00102152,36,20,11,4,1,0,0,0,0
S00102153,52,35,14,1,1,1,0,0,0
S00102154,46,11,18,8,6,2,0,1,0
S00102155,51,12,14,10,11,4,0,0,0
S00102156,41,15,14,8,3,1,0,0,0
S00102157,52,14,12,13,11,2,0,0,0
S00102158,46,12,17,5,10,2,0,0,0
S00102159,72,13,24,19,11,4,1,0,0
S00102160,63,20,21,9,8,3,2,0,0
S00102161,42,7,13,9,6,4,3,0,0
S00102162,48,11,13,11,8,3,2,0,0
S00102163,46,26,10,3,4,0,3,0,0
S00102164,43,14,19,7,2,1,0,0,0
S00102165,64,17,18,14,10,2,2,1,0
S00102166,73,14,27,14,12,4,1,1,0
S00102167,69,7,38,12,10,2,0,0,0
S00102168,40,14,17,0,8,0,1,0,0
S00102169,74,16,33,12,10,1,2,0,0
S00102170,40,6,18,4,7,4,1,0,0
S00102171,55,11,21,9,12,1,1,0,0
S00102172,50,15,10,11,11,2,1,0,0
S00102173,63,31,20,7,5,0,0,0,0
S00102174,55,22,22,4,5,2,0,0,0
S00102175,64,39,12,6,6,1,0,0,0
S00102176,45,27,17,1,0,0,0,0,0
S00102177,52,11,21,8,9,2,1,0,0
S00102178,47,17,19,8,1,2,0,0,0
S00102179,25,7,9,3,4,2,0,0,0
S00102180,71,36,22,10,2,1,0,0,0
S00102181,46,10,15,12,5,4,0,0,0
S00102182,43,10,11,11,7,3,1,0,0
S00102183,76,33,22,13,4,4,0,0,0
S00102184,74,22,35,7,7,3,0,0,0
S00102185,57,5,18,17,8,7,2,0,0
S00102186,53,13,17,11,9,2,0,0,1
S00102187,64,24,24,6,9,0,1,0,0
S00102188,50,16,17,7,8,1,0,1,0
S00102189,60,10,20,11,13,6,0,0,0
S00102190,45,16,10,6,10,3,0,0,0
S00102191,44,15,18,6,5,0,0,0,0
S00102192,67,19,18,15,13,1,1,0,0
S00102193,67,24,18,10,8,2,5,0,0
S00102194,65,29,24,5,5,1,0,1,0
S00102195,66,12,24,13,13,2,1,0,1
S00102196,47,22,18,4,2,1,0,0,0
S00102197,43,9,19,6,8,1,0,0,0
S00102198,34,13,16,1,3,1,0,0,0
S00102199,41,18,16,4,2,1,0,0,0
S00102200,42,13,18,6,4,1,0,0,0
S00102201,37,26,9,2,0,0,0,0,0
S00102202,58,28,16,7,4,3,0,0,0
S00102203,81,33,25,18,3,1,1,0,0
S00102204,35,21,9,3,2,0,0,0,0
S00102205,54,11,17,12,11,2,0,0,1
S00102206,41,11,15,7,6,1,1,0,0
S00102207,60,14,25,9,9,3,0,0,0
S00102208,54,14,16,16,7,1,0,0,0
S00102209,41,8,18,5,6,3,1,0,0
S00102210,71,18,33,9,9,2,0,0,0
S00102211,59,21,27,6,5,0,0,0,0
S00102212,61,17,21,13,7,2,1,0,0
S00102213,69,23,21,12,11,1,1,0,0
S00102214,40,6,20,10,4,0,0,0,0
S00102215,31,5,8,6,10,2,0,0,0
S00102216,34,8,14,6,4,2,0,0,0
S00102217,42,6,15,9,11,1,0,0,0
S00102218,40,6,18,9,6,1,0,0,0
S00102219,72,14,23,12,19,3,1,0,0
S00102220,57,18,22,4,10,2,1,0,0
S00102221,36,10,16,3,4,2,1,0,0
S00102222,42,9,17,4,8,2,2,0,0
S00102223,70,16,32,12,9,1,0,0,0
S00102224,42,6,18,7,5,6,0,0,0
S00102225,40,8,15,10,6,1,0,0,0
S00102226,54,8,30,6,7,2,1,0,0
S00102227,48,6,16,12,10,4,0,0,0
S00102228,47,11,18,11,6,1,0,0,0
S00102229,67,11,35,5,12,4,0,0,0
S00102230,66,13,31,11,7,3,1,0,0
S00102231,44,9,20,5,6,4,0,0,0
S00102232,37,1,18,8,4,5,1,0,0
S00102233,61,32,21,3,3,2,0,0,0
S00102234,64,25,25,10,3,1,0,0,0
S00102235,44,23,13,6,1,1,0,0,0
S00102236,45,13,23,5,4,0,0,0,0
S00102237,65,11,24,13,14,3,0,0,0
S00102238,65,10,32,11,9,2,1,0,0
S00102239,34,7,22,0,3,2,0,0,0
S00102240,50,14,22,7,5,1,1,0,0
S00102241,54,6,23,9,15,1,0,0,0
S00102242,57,18,27,3,6,2,1,0,0
S00102243,27,8,11,3,3,2,0,0,0
S00102244,35,14,5,8,5,3,0,0,0
S00102245,49,18,17,3,6,4,1,0,0
S00102246,57,17,22,9,8,1,0,0,0
S00102247,55,17,28,4,3,3,0,0,0
S00102248,41,21,13,3,3,1,0,0,0
S00102249,39,13,18,3,3,0,1,1,0
S00102250,48,10,22,8,4,3,0,1,0
S00102251,50,16,19,9,4,2,0,0,0
S00102252,43,11,15,8,7,2,0,0,0
S00102253,68,26,32,4,4,2,0,0,0
S00102254,58,20,22,12,4,0,0,0,0
S00102255,57,12,21,15,7,1,1,0,0
S00102256,50,4,15,16,8,3,4,0,0
S00102257,26,6,14,3,2,1,0,0,0
S00102258,53,17,25,6,4,1,0,0,0
S00102259,60,24,22,8,5,1,0,0,0
S00102260,44,27,12,4,1,0,0,0,0
S00102261,40,6,16,5,9,4,0,0,0
S00102262,54,11,23,2,14,3,0,1,0
S00102263,66,12,22,12,10,8,2,0,0
S00102264,47,10,17,8,9,3,0,0,0
S00102265,27,9,4,6,3,3,1,1,0
S00102266,73,34,20,7,9,3,0,0,0
S00102267,36,9,13,6,4,2,1,0,1
S00102268,44,13,14,6,4,5,1,1,0
S00102269,45,4,16,10,10,4,1,0,0
S00102270,65,21,20,11,10,2,1,0,0
S00102271,76,38,25,7,3,3,0,0,0
S00102272,42,10,16,8,5,3,0,0,0
S00102273,64,23,22,7,8,4,0,0,0
S00102274,36,16,10,5,4,1,0,0,0
S00102275,49,35,14,0,0,0,0,0,0
S00102276,64,27,28,7,1,1,0,0,0
S00102277,46,17,18,7,4,0,0,0,0
S00102278,44,13,17,5,7,2,0,0,0
S00102279,42,19,17,5,1,0,0,0,0
S00102280,45,15,17,4,9,0,0,0,0
S00102281,49,13,23,4,7,2,0,0,0
S00102282,36,13,10,8,4,1,0,0,0
S00102283,48,12,20,5,7,3,1,0,0
S00102284,55,21,17,10,6,1,0,0,0
S00102285,67,28,27,8,3,1,0,0,0
S00102286,41,20,12,5,2,1,1,0,0
S00102287,39,18,13,3,5,0,0,0,0
S00102288,70,26,19,12,10,1,2,0,0
S00102289,52,20,24,6,2,0,0,0,0
S00102290,64,26,22,12,2,2,0,0,0
S00102291,64,20,23,9,8,3,1,0,0
S00102292,27,4,10,0,10,3,0,0,0
S00102293,39,14,11,3,9,2,0,0,0
S00102294,44,13,17,11,2,1,0,0,0
S00102295,40,13,14,7,3,2,1,0,0
S00102296,45,10,20,6,5,3,1,0,0
S00102297,38,12,17,4,3,2,0,0,0
S00102298,52,12,25,6,7,2,0,0,0
S00102299,72,23,33,4,8,4,0,0,0
S00102300,40,18,12,6,4,0,0,0,0
S00102301,50,20,17,5,5,2,1,0,0
S00102302,42,15,14,7,5,0,1,0,0
S00102303,59,18,19,10,10,1,0,1,0
S00102304,50,8,22,9,9,2,0,0,0
S00102305,21,3,4,2,10,1,1,0,0
S00102306,33,6,20,3,2,2,0,0,0
S00102307,46,11,22,6,6,1,0,0,0
S00102308,40,11,21,6,1,1,0,0,0
S00102309,55,28,17,7,3,0,0,0,0
S00102310,77,27,35,7,4,3,1,0,0
S00102311,73,31,26,7,7,2,0,0,0
S00102312,62,24,17,13,6,2,0,0,0
S00102313,51,22,22,5,2,0,0,0,0
S00102314,44,18,20,3,3,0,0,0,0
S00102315,52,28,20,1,2,1,0,0,0
S00102316,48,16,18,3,9,2,0,0,0
S00102317,58,18,23,7,9,1,0,0,0
S00102318,39,16,14,5,3,1,0,0,0
S00102319,76,30,26,5,10,2,2,1,0
S00102320,66,28,24,4,7,3,0,0,0
S00102321,53,19,21,8,4,1,0,0,0
S00102322,62,43,7,5,6,1,0,0,0
S00102323,43,27,11,2,2,1,0,0,0
S00102324,40,16,16,2,2,3,1,0,0
S00102325,39,11,15,3,7,3,0,0,0
S00102326,40,7,14,5,8,5,0,1,0
S00102327,48,13,12,6,10,7,0,0,0
S00102328,36,12,12,2,8,1,1,0,0
S00102329,73,35,27,2,7,2,0,0,0
S00102330,77,26,30,9,11,1,0,0,0
S00102331,50,17,21,5,6,1,0,0,0
S00102332,49,16,20,4,6,3,0,0,0
S00102333,52,15,18,9,8,2,0,0,0
S00102334,39,11,19,3,4,1,1,0,0
S00102335,67,14,28,11,10,3,1,0,0
S00102336,71,14,20,21,11,5,0,0,0
S00102337,58,17,24,6,10,1,0,0,0
S00102338,56,19,19,5,11,2,0,0,0
S00102339,53,21,16,8,5,2,0,1,0
S00102340,21,3,12,2,2,0,1,1,0
S00102341,62,13,26,13,8,2,0,0,0
S00102342,47,27,15,3,1,0,1,0,0
S00102343,54,43,10,0,1,0,0,0,0
S00102344,57,35,15,4,2,1,0,0,0
S00102345,54,24,19,5,5,1,0,0,0
S00102346,33,20,8,0,4,1,0,0,0
S00102347,76,46,20,5,5,0,0,0,0
S00102348,70,31,25,5,8,0,1,0,0
S00102349,38,19,12,2,4,1,0,0,0
S00102350,58,36,14,6,2,0,0,0,0
S00102351,68,21,24,11,8,3,0,1,0
S00102352,44,22,12,7,2,1,0,0,0
S00102353,61,15,28,11,6,1,0,0,0
S00102354,42,6,21,7,7,1,0,0,0
S00102355,47,14,22,5,4,2,0,0,0
S00102356,48,24,14,6,4,0,0,0,0
S00102357,50,20,17,9,4,0,0,0,0
S00102358,44,17,18,3,3,1,2,0,0
S00102359,54,18,18,10,5,3,0,0,0
S00102360,44,7,16,9,9,1,2,0,0
S00102361,69,23,15,22,7,1,1,0,0
S00102362,50,14,20,9,7,0,0,0,0
S00102363,36,8,13,4,9,2,0,0,0
S00102364,50,10,27,2,8,1,2,0,0
S00102365,37,7,9,8,8,5,0,0,0
S00102366,66,22,27,7,10,0,0,0,0
S00102367,71,21,25,9,8,8,0,0,0
S00102368,61,16,24,10,10,0,0,0,1
S00102369,44,9,19,6,8,2,0,0,0
S00102370,59,7,12,15,20,5,0,0,0
S00102371,64,12,31,11,9,0,1,0,0
S00102372,70,4,21,18,15,7,5,0,0
S00102373,66,10,16,18,18,3,1,0,0
S00102374,39,7,15,4,6,6,1,0,0
S00102375,55,22,28,2,2,0,1,0,0
S00102376,23,6,10,1,6,0,0,0,0
S00102377,49,10,22,6,7,4,0,0,0
S00102378,34,14,14,4,1,1,0,0,0
S00102379,72,47,20,3,2,0,0,0,0
S00102380,41,14,14,8,4,1,0,0,0
S00102381,43,19,12,9,3,0,0,0,0
S00102382,47,15,14,11,5,2,0,0,0
S00102383,23,4,11,6,2,0,0,0,0
S00102384,37,16,7,9,4,1,0,0,0
S00102385,23,8,4,5,5,1,0,0,0
S00102386,29,0,5,12,10,2,0,0,0
S00102387,39,10,18,6,3,1,1,0,0
S00102388,62,5,17,12,18,8,1,1,0
S00102389,63,19,17,14,9,3,1,0,0
S00102390,49,16,20,8,4,1,0,0,0
S00102391,31,3,7,5,11,4,1,0,0
S00102392,42,13,19,3,5,1,1,0,0
S00102393,45,12,16,7,9,1,0,0,0
S00102394,42,12,20,5,2,2,1,0,0
S00102395,54,28,19,3,4,0,0,0,0
S00102396,68,5,26,15,20,2,0,0,0
S00102397,73,16,30,15,10,2,0,0,0
S00102398,59,35,16,6,1,1,0,0,0
S00102399,26,4,7,5,8,1,1,0,0
S00102400,53,2,18,14,17,2,0,0,0
S00102401,49,0,12,13,18,4,0,1,1
S00102402,36,2,14,6,11,2,0,0,1
S00102403,45,5,12,13,14,1,0,0,0
S00102404,35,2,5,9,14,4,1,0,0
S00102405,27,5,12,7,1,1,1,0,0
S00102406,75,15,34,6,15,4,1,0,0
S00102407,62,18,28,6,9,1,0,0,0
S00102408,59,14,15,10,13,6,0,1,0
S00102409,75,2,23,25,20,5,0,0,0
S00102410,68,24,32,6,5,1,0,0,0
S00102411,47,14,14,10,3,1,3,0,2
S00102412,50,19,18,11,1,1,0,0,0
S00102413,63,34,15,3,8,3,0,0,0
S00102414,25,7,10,5,1,1,1,0,0
S00102415,55,33,11,6,3,2,0,0,0
S00102416,47,19,19,5,1,2,0,1,0
S00102417,37,9,23,4,1,0,0,0,0
S00102418,45,11,17,8,8,1,0,0,0
S00102419,66,22,27,16,0,1,0,0,0
S00102420,36,11,16,2,3,2,2,0,0
S00102421,38,7,15,3,11,2,0,0,0
S00102422,46,16,16,4,7,2,1,0,0
S00102423,52,19,18,7,7,1,0,0,0
S00102424,29,8,10,7,4,0,0,0,0
S00102425,55,19,13,8,8,7,0,0,0
S00102426,48,22,18,5,1,0,2,0,0
S00102427,44,15,17,6,5,0,1,0,0
S00102428,49,8,32,6,3,0,0,0,0
S00102429,54,22,16,8,7,1,0,0,0
S00102430,40,24,12,1,2,1,0,0,0
S00102431,38,7,14,5,9,2,1,0,0
S00102432,37,3,11,10,8,4,1,0,0
S00102433,57,5,12,12,23,4,0,1,0
S00102434,60,22,19,6,11,1,1,0,0
S00102435,44,17,11,10,5,0,1,0,0
S00102436,35,16,12,3,3,1,0,0,0
S00102437,60,39,19,2,0,0,0,0,0
S00102438,31,14,12,4,0,0,1,0,0
S00102439,47,20,9,4,10,4,0,0,0
S00102440,46,17,14,6,8,1,0,0,0
S00102441,73,23,27,17,5,1,0,0,0
S00102442,32,6,12,5,7,1,1,0,0
S00102443,53,11,19,14,8,0,0,1,0
S00102444,41,14,13,8,5,1,0,0,0
S00102445,47,4,21,8,10,3,0,1,0
S00102446,34,4,12,8,6,3,1,0,0
S00102447,48,13,19,4,8,4,0,0,0
S00102448,60,14,30,7,5,3,1,0,0
S00102449,28,6,13,4,4,1,0,0,0
S00102450,36,6,15,6,6,3,0,0,0
S00102451,58,17,21,6,11,2,1,0,0
S00102452,32,9,15,4,3,1,0,0,0
S00102453,75,6,22,11,26,8,2,0,0
S00102454,63,4,13,16,24,5,1,0,0
S00102455,57,14,25,9,7,2,0,0,0
S00102456,61,1,17,15,24,3,1,0,0
S00102457,48,2,9,12,18,6,1,0,0
S00102458,63,13,19,10,16,5,0,0,0
S00102459,45,8,19,6,7,4,1,0,0
S00102460,50,10,18,11,9,2,0,0,0
S00102461,50,13,21,11,5,0,0,0,0
S00102462,43,15,11,6,10,0,1,0,0
S00102463,36,13,13,5,4,1,0,0,0
S00102464,46,22,15,3,1,4,0,1,0
S00102465,61,43,14,3,1,0,0,0,0
S00102466,51,35,14,2,0,0,0,0,0
S00102467,63,36,15,9,2,1,0,0,0
S00102468,52,28,13,8,3,0,0,0,0
S00102469,47,23,16,4,4,0,0,0,0
S00102470,50,22,16,5,7,0,0,0,0
S00102471,67,20,27,12,5,3,0,0,0
S00102472,42,21,13,6,1,1,0,0,0
S00102473,54,25,15,11,2,1,0,0,0
S00102474,32,11,11,4,5,1,0,0,0
S00102475,46,21,16,6,3,0,0,0,0
S00102476,53,27,19,6,1,0,0,0,0
S00102477,48,5,17,9,10,6,1,0,0
S00102478,43,7,10,12,12,2,0,0,0
S00102479,37,0,8,13,13,1,1,0,1
S00102480,41,3,11,10,17,0,0,0,0
S00102481,44,6,13,11,14,0,0,0,0
S00102482,40,5,11,6,16,2,0,0,0
S00102483,59,20,25,10,4,0,0,0,0
S00102484,31,14,14,2,1,0,0,0,0
S00102485,50,14,17,12,3,4,0,0,0
S00102486,42,25,7,4,4,2,0,0,0
S00102487,32,17,7,4,4,0,0,0,0
S00102488,60,18,19,13,9,0,0,1,0
S00102489,52,10,22,7,10,1,2,0,0
S00102490,75,10,25,19,16,5,0,0,0
S00102491,41,21,8,10,2,0,0,0,0
S00102492,46,10,12,11,12,1,0,0,0
S00102493,23,3,7,7,3,3,0,0,0
S00102494,36,12,9,7,1,5,2,0,0
S00102495,78,28,22,16,9,1,2,0,0
S00102496,29,12,11,3,3,0,0,0,0
S00102497,48,6,13,11,15,2,1,0,0
S00102498,62,5,16,18,19,3,1,0,0
S00102499,27,9,11,5,2,0,0,0,0
S00102500,49,8,16,13,10,2,0,0,0
S00102501,57,15,17,8,13,4,0,0,0
S00102502,46,25,7,7,3,3,1,0,0
S00102503,46,17,18,8,3,0,0,0,0
S00102504,40,8,13,9,8,2,0,0,0
S00102505,77,3,16,19,25,11,2,1,0
S00102506,47,6,16,14,10,1,0,0,0
S00102507,54,15,21,10,4,4,0,0,0
S00102508,63,49,9,0,3,2,0,0,0
S00102509,30,3,10,7,5,4,1,0,0
S00102510,54,14,21,12,7,0,0,0,0
S00102511,51,38,10,1,2,0,0,0,0
S00102512,40,13,14,6,6,1,0,0,0
S00102513,28,3,12,5,4,3,1,0,0
S00102514,79,44,27,7,0,1,0,0,0
S00102515,68,8,38,13,9,0,0,0,0
S00102516,57,10,15,18,11,1,0,1,1
S00102517,63,18,24,8,9,2,1,1,0
S00102518,54,3,18,12,18,3,0,0,0
S00102519,43,7,21,5,8,1,1,0,0
S00102520,46,12,14,7,10,3,0,0,0
S00102521,44,29,9,5,1,0,0,0,0
S00102522,52,37,8,5,2,0,0,0,0
S00102523,29,11,11,3,4,0,0,0,0
S00102524,51,7,10,8,23,2,1,0,0
S00102525,40,8,10,6,13,3,0,0,0
S00102526,67,3,19,15,24,5,1,0,0
S00102527,46,6,17,8,12,3,0,0,0
S00102528,38,5,11,5,11,4,1,1,0
S00102529,59,28,21,6,4,0,0,0,0
S00102530,64,38,22,3,0,1,0,0,0
S00102531,49,20,20,3,4,2,0,0,0
S00102532,57,23,24,7,2,1,0,0,0
S00102533,65,17,22,13,11,2,0,0,0
S00102534,39,7,18,6,7,1,0,0,0
S00102535,35,3,20,5,6,1,0,0,0
S00102536,43,27,8,7,0,0,0,0,1
S00102537,42,17,17,6,1,0,0,0,1
S00102538,34,18,8,4,4,0,0,0,0
S00102539,68,39,12,8,9,0,0,0,0
S00102540,24,10,6,3,4,1,0,0,0
S00102541,38,14,12,7,4,0,1,0,0
S00102542,34,9,3,13,7,1,1,0,0
S00102543,56,6,37,7,6,0,0,0,0
S00102544,39,8,17,8,5,0,1,0,0
S00102545,53,18,15,8,8,4,0,0,0
S00102546,72,13,16,25,14,3,1,0,0
S00102547,70,6,14,16,21,11,2,0,0
S00102548,80,2,24,16,26,9,2,1,0
S00102549,46,7,19,6,8,4,1,1,0
S00102550,67,8,10,17,19,13,0,0,0
S00102551,54,6,17,8,18,4,1,0,0
S00102552,25,7,9,4,3,2,0,0,0
S00102553,79,35,21,12,7,4,0,0,0
S00102554,61,20,20,10,8,3,0,0,0
S00102555,60,16,13,6,17,7,1,0,0
S00102556,82,34,30,7,8,2,1,0,0
S00102557,57,19,17,9,9,3,0,0,0
S00102558,37,17,13,2,4,1,0,0,0
S00102559,55,19,21,5,8,2,0,0,0
S00102560,34,7,19,5,2,1,0,0,0
S00102561,59,5,19,18,14,3,0,0,0
S00102562,84,3,30,17,20,12,2,0,0
S00102563,56,18,22,8,5,1,2,0,0
S00102564,47,5,11,14,13,1,3,0,0
S00102565,41,9,12,6,9,4,0,0,1
S00102566,48,13,13,9,10,3,0,0,0
S00102567,54,7,19,10,12,5,1,0,0
S00102568,63,10,28,9,14,1,1,0,0
S00102569,47,3,13,12,15,1,3,0,0
S00102570,45,12,11,9,8,5,0,0,0
S00102571,44,4,18,8,8,4,1,1,0
S00102572,78,9,22,16,22,5,3,1,0
S00102573,54,9,14,7,10,11,2,1,0
S00102574,37,2,11,11,9,2,2,0,0
S00102575,51,14,17,6,10,3,1,0,0
S00102576,24,5,8,3,6,1,0,1,0
S00102577,34,7,9,4,9,2,2,1,0
S00102578,35,5,16,4,8,2,0,0,0
S00102579,70,15,35,8,8,4,0,0,0
S00102580,54,11,25,3,10,4,1,0,0
S00102581,74,25,31,14,2,1,0,1,0
S00102582,38,11,12,8,5,2,0,0,0
